"Rank","Player","Team","Position","Points","Games","Avg"
"272","Jermaine Kearse","SEA","WR","78.6","15","5.2"
"273","Atlanta Falcons","ATL","DST","78.0","15","5.2"
"274","Jason Snelling","ATL","RB","77.9","13","6.0"
"275","Joseph Fauria","DET","TE","77.7","15","5.2"
"276","Rob Housler","ARI","TE","77.6","12","6.5"
"277","Kellen Winslow","NYJ","TE","77.4","11","7.0"
"277","Justin Hunter","TEN","WR","77.4","13","6.0"
"279","Bernard Pierce","BAL","RB","77.4","15","5.2"
"280","Justin Blackmon","JAC","WR","76.4","4","19.1"
"281","Lance Moore","NO","WR","75.4","12","6.3"
"282","Jermichael Finley","GB","TE","73.0","6","12.2"
"283","Marcedes Lewis","JAC","TE","72.9","10","7.3"
"284","Matt Flynn","Multi","QB","72.3","7","10.3"
"285","Tiquan Underwood","TB","WR","71.7","11","6.5"
"286","Lance Kendricks","LAR","TE","71.4","14","5.1"
"287","Darrius Heyward-Bey","IND","WR","70.5","15","4.7"
"288","John Carlson","MIN","TE","70.4","13","5.4"
"289","Andrew Quarless","GB","TE","70.1","15","4.7"
"290","Doug Martin","TB","RB","68.2","6","11.4"
"291","Santonio Holmes","NYJ","WR","67.5","10","6.8"
"292","Andre Holmes","LV","WR","67.3","9","7.5"
"293","Owen Daniels","HOU","TE","67.2","5","13.4"
"294","Jordan Todman","JAC","RB","66.7","15","4.5"
"295","Sean McGrath","KC","TE","66.1","15","4.4"
"296","Ladarius Green","LAC","TE","63.4","15","4.2"
"297","Minnesota Vikings","MIN","DST","63.0","15","4.2"
"298","Shonn Greene","TEN","RB","62.4","10","6.2"
"299","Stephen Hill","NYJ","WR","62.2","12","5.2"
"300","Logan Paulsen","WAS","TE","61.5","15","4.1"
"301","Anthony Fasano","KC","TE","61.0","9","6.8"
"302","Brian Quick","LAR","WR","60.2","15","4.0"
"303","Clay Harbor","JAC","TE","60.1","15","4.0"
"304","Toby Gerhart","MIN","RB","60.1","14","4.3"
"305","Houston Texans","HOU","DST","60.0","15","4.0"
"306","Aldrick Robinson","WAS","WR","60.0","15","4.0"
"307","Marquise Goodwin","BUF","WR","59.4","11","5.4"
"308","Brian Leonard","TB","RB","58.5","15","3.9"
"309","Ed Dickson","BAL","TE","58.3","15","3.9"
"310","Willis McGahee","CLE","RB","57.7","12","4.8"
"311","Keshawn Martin","HOU","WR","56.1","15","3.7"
"312","Mike Williams","TB","WR","55.6","6","9.3"
"313","Trevor Graham","BUF","WR","55.3","15","3.7"
"314","Mark Ingram II","NO","RB","55.1","10","5.5"
"315","Jim Dray","ARI","TE","54.7","15","3.7"
"315","Bryce Brown","PHI","RB","54.7","15","3.7"
"317","Sidney Rice","SEA","WR","54.1","8","6.8"
"318","Kendall Hunter","SF","RB","53.8","15","3.6"
"319","Benjamin Watson","NO","TE","51.9","14","3.7"
"320","Luke Willson","SEA","TE","51.8","15","3.5"
"321","Michael Bush","CHI","RB","51.4","14","3.7"
"322","Jerrel Jernigan","NYG","WR","50.9","14","3.6"
"323","Bruce Miller","SF","TE","50.6","14","3.6"
"324","Peyton Hillis","NYG","RB","50.1","6","8.4"
"325","Robert Meachem","NO","WR","49.2","14","3.5"
"326","Brandon Jacobs","NYG","RB","49.1","7","7.0"
"327","Griff Whalen","IND","WR","48.7","8","6.1"
"328","Mike James","TB","RB","47.9","8","6.0"
"329","Daryl Richardson","LAR","RB","47.6","8","6.0"
"330","Andre Caldwell","DEN","WR","47.5","15","3.2"
"330","Michael Crabtree","SF","WR","47.5","4","11.9"
"332","Kevin Ogletree","Multi","WR","47.4","15","3.2"
"333","Ronnie Hillman","DEN","RB","46.7","9","5.2"
"334","Tandon Doss","BAL","WR","46.5","14","3.3"
"335","Darius Johnson","ATL","WR","45.6","9","5.1"
"336","Drew Davis","ATL","WR","45.6","15","3.0"
"337","Fozzy Whittaker","Multi","RB","44.6","13","3.4"
"337","Thaddeus Lewis","BUF","QB","44.6","5","8.9"
"339","Miles Austin","DAL","WR","44.2","10","4.4"
"340","Benny Cunningham Jr.","LAR","RB","42.8","13","3.3"
"341","Josh Morgan","WAS","WR","42.7","14","3.1"
"342","Joseph Randle","DAL","RB","42.5","12","3.5"
"343","Knile Davis","KC","RB","42.1","15","2.8"
"344","Ahmad Bradshaw","IND","RB","41.8","3","13.9"
"345","Stedman Bailey","LAR","WR","41.6","15","2.8"
"346","Ryan Griffin","HOU","TE","41.5","14","3.0"
"347","Da'Rick Rogers","IND","WR","41.2","4","10.3"
"348","Brian Hoyer","CLE","QB","40.2","3","13.4"
"349","Darrel Young","WAS","RB","38.8","12","3.2"
"350","Jacob Tamme","DEN","TE","38.5","15","2.6"
"351","LaVon Brazill","IND","WR","38.0","9","4.2"
"352","Anthony Sherman","KC","RB","37.8","15","2.5"
"353","Gary Barnidge","CLE","TE","37.7","15","2.5"
"354","Robert Turbin","SEA","RB","37.1","15","2.5"
"355","Cory Harkey","LAR","TE","36.3","14","2.6"
"356","Ronnie Brown","LAC","RB","35.7","15","2.4"
"357","Da'Rel Scott","NYG","RB","34.5","5","6.9"
"358","Scott Tolzien","GB","QB","34.2","3","11.4"
"359","Edwin Baker","CLE","RB","34.0","2","17.0"
"360","Stanley Havili","IND","RB","33.7","12","2.8"
"361","Chris Polk","PHI","RB","33.5","14","2.4"
"362","Kirk Cousins","WAS","QB","32.5","4","8.1"
"363","Michael Hoomanawanui","NE","TE","31.6","12","2.6"
"364","Frank Summers","BUF","RB","31.5","14","2.3"
"365","Jonathan Dwyer","PIT","RB","31.2","14","2.2"
"366","Jaron Brown","ARI","WR","31.0","15","2.1"
"367","Dennis Johnson","HOU","RB","30.9","8","3.9"
"368","Felix Jones","PIT","RB","30.6","15","2.0"
"369","DeVier Posey","HOU","WR","30.5","14","2.2"
"370","Josh Freeman","Multi","QB","30.4","4","7.6"
"371","Antone Smith","ATL","RB","29.5","15","2.0"
"372","Kerry Taylor","Multi","WR","29.4","9","3.3"
"372","Jonathan Stewart","CAR","RB","29.4","6","4.9"
"374","John Kuhn","GB","RB","28.8","14","2.1"
"375","Dennis Pitta","BAL","TE","28.6","3","9.5"
"376","Levine Toilolo","ATL","TE","28.5","15","1.9"
"377","Jed Collins","NO","RB","28.4","15","1.9"
"378","Dwayne Harris","DAL","WR","27.6","12","2.3"
"379","Matt Asiata","MIN","RB","27.6","10","2.8"
"380","Damian Williams","TEN","WR","26.6","9","3.0"
"381","Justin Forsett","JAC","RB","26.3","9","2.9"
"382","Alfonso Smith","ARI","RB","26.2","15","1.8"
"383","Junior Hemingway","KC","WR","26.0","15","1.7"
