"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"171","Christine Michael","","","RB53","","","","","","165.0"
"172","Cleveland Browns","DST","4","DST16","","","","","","174.0"
"173","Sam Bradford","","","QB24","","","","","","149.0"
"174","Marvin Jones Jr.","JAC","11","WR54","","","","","","171.0"
"175","Blair Walsh","","","K11","","","","","","180.3"
"176","Matt Bryant","","","K12","","","","","","169.3"
"177","James Jones","","","WR55","","","","","","181.3"
"178","Markus Wheaton","","","WR56","","","","","","169.7"
"179","Travis Kelce","KC","6","TE18","","","","113","","155.0"
"180","Baltimore Ravens","DST","11","DST17","","","","","","172.3"
"181","Zach Miller","","","TE19","","","","","","156.5"
"182","Jarrett Boykin","","","WR57","","","","","","157.5"
"183","Tampa Bay Buccaneers","DST","7","DST18","","","","","","172.3"
"184","Michael Vick","","","QB25","","","","","","159.5"
"185","Kenny Stills","","","WR58","","","","","","173.3"
"186","Brent Celek","","","TE20","","","","","","173.7"
"187","Tony Gonzalez","","","TE21","","","","","","122.0"
"188","Buffalo Bills","DST","9","DST19","","","","","","175.3"
"189","Coby Fleener","","","TE22","","","","","","177.0"
"190","Delanie Walker","","","TE23","","","","","","177.3"
"191","Josh McCown","","","QB26","","","","","","166.0"
"192","Dallas Cowboys","DST","11","DST20","","","","","","166.5"
"193","Teddy Bridgewater","MIA","5","QB27","","","","","","166.5"
"194","Jermichael Finley","","","TE24","","","","","","137.0"
"195","Robbie Gould","SF","8","K13","","","","","","182.3"
"196","Shayne Graham","","","K14","","","","","","181.0"
"197","Aaron Dobson","","","WR59","","","","","","182.3"
"198","Derek Carr","LV","","QB28","","","","","","147.0"
"199","Knile Davis","","","RB54","","","","","","174.5"
"200","Harry Douglas","","","WR60","","","","","","178.0"
"201","Donald Brown","","","RB55","","","","","","180.0"
"202","Miles Austin","","","WR61","","","","","","187.0"
"203","Jordan Matthews","SF","8","WR62","","","","","","180.5"
"204","Malcom Floyd","","","WR63","","","","","","161.0"
"205","Steve Johnson","","","WR64","","","","","","161.0"
"206","New York Giants","DST","8","DST21","","","","","","195.7"
"207","Geno Smith","SEA","4","QB29","","","","","","162.0"
"208","Brandon LaFell","","","WR65","","","","","","191.0"
"209","Tim Wright","","","TE25","","","","","","182.0"
"210","Dwayne Allen","","","TE26","","","","","","182.0"
"211","Dexter McCluster","","","RB56","","","","","","183.5"
"212","Philadelphia Eagles","DST","7","DST22","","","","","","193.3"
"213","Mike Nugent","","","K15","","","","","","205.0"
"214","Owen Daniels","","","TE27","","","","","","168.0"
"215","James Starks","","","RB57","","","","","","185.0"
"216","Jerricho Cotchery","","","WR66","","","","","","197.5"
"217","David Akers","","","K16","","","","","","171.0"
"218","Kenbrell Thompkins","","","WR67","","","","","","193.5"
"219","Kenny Britt","","","WR68","","","","","","188.0"
"220","Indianapolis Colts","DST","10","DST23","","","","","","176.0"
"221","Andrew Hawkins","","","WR69","","","","","","198.5"
"222","Miami Dolphins","DST","5","DST24","","","","","","208.5"
"223","Mitch Ewald","","","K17","","","","","","180.0"
