"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","Adrian Peterson","","","RB1","1","","","1","","1.0"
"2","Doug Martin","","","RB2","2","","","2","","2.7"
"3","Arian Foster","","","RB3","3","","","4","","3.5"
"4","Jamaal Charles","","","RB4","5","","","3","","4.7"
"5","C.J. Spiller","","","RB5","8","","","5","","5.2"
"6","Marshawn Lynch","","","RB6","4","","","6","","5.3"
"7","Ray Rice","","","RB7","7","","","9","","7.0"
"8","Calvin Johnson","","","WR1","6","","","10","","7.8"
"9","Trent Richardson","","","RB8","11","","","8","","9.7"
"10","LeSean McCoy","","","RB9","12","","","7","","10.3"
"11","Alfred Morris","","","RB10","13","","","11","","12.3"
"12","Drew Brees","","","QB1","10","","","20","","12.5"
"13","Aaron Rodgers","GB","4","QB2","9","","","26","","12.7"
"14","Dez Bryant","","","WR2","15","","","13","","15.2"
"15","Matt Forte","","","RB11","16","","","12","","15.3"
"16","A.J. Green","ARI","9","WR3","14","","","18","","16.0"
"17","Steven Jackson","","","RB12","20","","","14","","17.5"
"18","Chris Johnson","","","RB13","19","","","15","","19.5"
"19","Peyton Manning","","","QB3","17","","","33","","20.2"
"20","Julio Jones","TB","5","WR4","18","","","22","","20.3"
"21","Brandon Marshall","","","WR5","21","","","24","","21.2"
"22","Stevan Ridley","","","RB14","25","","","17","","21.5"
"23","Jimmy Graham","","","TE1","22","","","23","","22.3"
"24","Demaryius Thomas","","","WR6","23","","","27","","23.5"
"25","Maurice Jones-Drew","","","RB15","26","","","19","","24.3"
"26","Frank Gore","","","RB16","30","","","25","","28.3"
"27","Larry Fitzgerald","","","WR7","27","","","29","","28.7"
"28","David Wilson","","","RB17","36","","","16","","29.2"
"29","Andre Johnson","","","WR8","28","","","31","","30.0"
"30","Reggie Bush","","","RB18","29","","","21","","30.7"
"31","Tom Brady","TB","5","QB4","24","","","43","","31.0"
"32","Roddy White","","","WR9","33","","","36","","31.3"
"33","Randall Cobb","GB","4","WR10","31","","","32","","33.0"
"34","DeMarco Murray","","","RB19","37","","","28","","34.3"
"35","Victor Cruz","","","WR11","35","","","37","","36.5"
"36","Cam Newton","","","QB5","32","","","51","","37.0"
"37","Vincent Jackson","","","WR12","38","","","38","","37.5"
"38","Darren McFadden","","","RB20","42","","","39","","39.3"
"39","Matt Ryan","IND","8","QB6","34","","","55","","40.3"
"40","Rob Gronkowski","","","TE2","47","","","45","","41.8"
"41","Marques Colston","","","WR13","41","","","44","","42.8"
"42","Dwayne Bowe","","","WR14","44","","","42","","43.5"
"43","Lamar Miller","","","RB21","50","","","34","","44.2"
"44","Wes Welker","","","WR15","39","","","48","","45.0"
"45","Danny Amendola","","","WR16","46","","","40","","45.2"
"46","Eddie Lacy","","","RB22","45","","","30","","45.3"
"47","Darren Sproles","","","RB23","43","","","35","","47.3"
"48","Reggie Wayne","","","WR17","48","","","47","","49.0"
"49","Jordy Nelson","","","WR18","53","","","52","","54.0"
"50","Vernon Davis","","","TE3","58","","","58","","54.3"
"51","Colin Kaepernick","","","QB7","40","","","63","","55.0"
"52","Jason Witten","","","TE4","56","","","61","","55.0"
"53","Hakeem Nicks","","","WR19","55","","","57","","55.7"
"54","Pierre Garcon","","","WR20","60","","","50","","55.7"
"55","Montee Ball","","","RB24","59","","","53","","56.0"
"56","Eric Decker","","","WR21","57","","","64","","56.2"
"57","Torrey Smith","","","WR22","54","","","54","","56.3"
"58","Ryan Mathews","","","RB25","61","","","49","","58.2"
"59","Tony Gonzalez","","","TE5","64","","","67","","58.2"
"60","Matthew Stafford","LAR","","QB8","49","","","68","","58.8"
"61","Andrew Luck","","","QB9","51","","","72","","60.2"
"62","Antonio Brown","","","WR23","65","","","59","","62.3"
"63","Mike Wallace","","","WR24","63","","","69","","62.7"
"64","Steve Smith","","","WR25","69","","","71","","64.7"
"65","Giovani Bernard","TB","5","RB26","68","","","41","","65.0"
"66","Robert Griffin III","","","QB10","52","","","75","","65.2"
"67","DeSean Jackson","BAL","8","WR26","67","","","60","","65.7"
