"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"17","Kelvin Benjamin (FA)","16","73","1,008","13.8","848","11.6","848","11.6","160","2.2","0","0.0","0","145","26.9%","73","11","15","44","14","5","2","1","51"
"18","Mike Wallace (FA)","16","67","862","12.9","627","9.4","627","9.4","235","3.5","0","0.0","0","115","19.4%","67","4","19","39","10","5","2","2","50"
"19","Torrey Smith (FA)","16","49","767","15.7","600","12.2","600","12.2","167","3.4","0","0.0","0","92","17.0%","49","11","13","35","13","5","2","1","53"
"20","Steve Smith (FA)","16","79","1,065","13.5","702","8.9","702","8.9","363","4.6","0","0.0","0","134","24.8%","79","8","18","39","15","7","5","3","80"
"21","Anquan Boldin (FA)","16","83","1,062","12.8","662","8.0","662","8.0","400","4.8","0","0.0","0","131","27.1%","83","10","15","48","14","3","1","1","76"
"22","Brandon LaFell (FA)","16","74","953","12.9","585","7.9","585","7.9","368","5.0","0","0.0","0","119","19.8%","74","5","13","43","10","3","2","1","56"
"23","A.J. Green (ARI)","13","69","1,041","15.1","727","10.5","727","10.5","314","4.6","0","0.0","0","116","23.5%","69","4","11","45","13","5","3","3","81"
"24","Jordan Matthews (SF)","16","67","872","13.0","485","7.2","485","7.2","387","5.8","0","0.0","0","103","16.8%","67","5","15","37","16","5","2","0","44"
"25","Sammy Watkins (GB)","16","65","982","15.1","638","9.8","638","9.8","344","5.3","0","0.0","0","128","22.4%","66","6","10","35","14","6","4","2","84"
"26","Roddy White (FA)","14","80","921","11.5","739","9.2","739","9.2","182","2.3","0","0.0","0","125","20.1%","80","10","13","41","14","2","0","0","39"
"27","Julian Edelman (FA)","14","92","972","10.6","541","5.9","541","5.9","431","4.7","0","0.0","0","134","22.3%","92","11","20","39","7","4","3","1","69"
"28","Eric Decker (FA)","15","74","962","13.0","640","8.6","640","8.6","322","4.4","0","0.0","0","115","23.9%","74","8","14","35","12","5","4","2","74"
"29","Mohamed Sanu Sr. (FA)","16","56","790","14.1","468","8.4","468","8.4","322","5.8","0","0.0","0","98","19.9%","56","14","15","29","9","8","3","2","76"
"30","Malcom Floyd (FA)","16","52","856","16.5","732","14.1","732","14.1","124","2.4","0","0.0","0","92","16.2%","52","1","10","35","13","6","5","1","59"
"31","Eddie Royal (FA)","16","62","778","12.5","418","6.7","418","6.7","360","5.8","0","0.0","0","91","16.2%","62","6","11","36","14","5","3","0","47"
"32","Michael Floyd (FA)","16","47","841","17.9","726","15.4","726","15.4","115","2.4","0","0.0","0","99","17.6%","47","5","5","35","15","9","6","1","63"
"33","Marques Colston (FA)","16","59","902","15.3","607","10.3","607","10.3","295","5.0","0","0.0","0","99","15.3%","59","8","13","36","17","3","1","1","57"
"34","Brandon Marshall (FA)","13","61","721","11.8","497","8.1","497","8.1","224","3.7","0","0.0","0","106","17.4%","61","6","15","32","5","4","4","0","47"
"35","Rueben Randle (FA)","16","71","938","13.2","706","9.9","706","9.9","232","3.3","0","0.0","0","127","21.2%","71","4","19","41","12","4","2","0","49"
"36","Kenny Stills (FA)","15","63","931","14.8","743","11.8","743","11.8","188","3.0","0","0.0","0","84","12.9%","63","4","4","36","10","7","6","1","69"
"37","Kendall Wright (FA)","14","57","715","12.5","350","6.1","350","6.1","365","6.4","0","0.0","0","93","18.4%","57","1","8","30","10","4","1","0","48"
"38","Greg Jennings (FA)","16","59","742","12.6","545","9.2","545","9.2","197","3.3","0","0.0","0","92","18.0%","59","5","12","35","9","2","0","0","38"
"39","Vincent Jackson (FA)","16","70","1,002","14.3","862","12.3","862","12.3","140","2.0","0","0.0","0","142","27.2%","70","7","14","41","12","7","3","1","50"
"40","Terrance Williams (FA)","16","37","621","16.8","511","13.8","511","13.8","110","3.0","0","0.0","0","65","13.8%","37","2","12","26","10","4","4","1","51"
"41","Andre Johnson (FA)","15","85","936","11.0","547","6.4","547","6.4","389","4.6","0","0.0","0","147","30.6%","85","9","26","46","14","1","0","0","35"
"42","Martavis Bryant (FA)","10","26","549","21.1","359","13.8","359","13.8","190","7.3","0","0.0","0","49","8.2%","26","4","8","14","8","6","5","3","94"
"43","Allen Hurns (FA)","16","51","677","13.3","472","9.3","472","9.3","205","4.0","0","0.0","0","97","17.5%","51","7","8","23","11","5","4","1","63"
"44","Doug Baldwin (FA)","16","66","825","12.5","487","7.4","487","7.4","338","5.1","0","0.0","0","98","22.7%","66","3","12","34","15","4","2","0","49"
"45","James Jones (FA)","16","73","666","9.1","449","6.2","449","6.2","217","3.0","0","0.0","0","112","18.1%","73","4","11","28","6","3","1","0","42"
"46","Robert Woods (TEN)","16","65","699","10.8","501","7.7","501","7.7","198","3.0","0","0.0","0","104","18.2%","65","8","12","24","11","5","0","0","37"
"47","John Brown (FA)","16","48","696","14.5","516","10.8","516","10.8","180","3.8","0","0.0","0","103","18.4%","49","4","6","29","11","4","2","1","75"
"48","Keenan Allen (LAC)","14","77","783","10.2","479","6.2","479","6.2","304","3.9","0","0.0","0","121","21.3%","77","4","12","35","6","1","0","0","35"
"49","Jarvis Landry (NO)","16","84","758","9.0","324","3.9","324","3.9","434","5.2","0","0.0","0","112","18.6%","84","2","13","36","6","0","0","0","25"
"50","Andrew Hawkins (FA)","15","63","824","13.1","428","6.8","428","6.8","396","6.3","0","0.0","0","112","22.4%","63","4","7","35","13","4","2","1","65"
"51","Michael Crabtree","16","68","698","10.3","440","6.5","440","6.5","258","3.8","0","0.0","0","108","22.3%","68","10","9","25","10","3","2","1","51"
"52","Kenny Britt (FA)","16","48","748","15.6","582","12.1","582","12.1","166","3.5","0","0.0","0","84","16.6%","48","3","6","30","13","7","3","1","63"
"53","Andre Holmes (FA)","16","47","693","14.7","500","10.6","500","10.6","193","4.1","0","0.0","0","98","15.8%","47","5","4","27","9","6","2","2","77"
"54","Pierre Garcon (FA)","16","68","752","11.1","411","6.0","411","6.0","341","5.0","0","0.0","0","105","19.3%","68","2","10","30","8","3","3","1","70"
"55","Larry Fitzgerald (FA)","14","63","784","12.4","451","7.2","451","7.2","333","5.3","0","0.0","0","104","18.5%","63","1","10","32","11","4","1","1","80"
"56","Reggie Wayne (FA)","15","64","779","12.2","506","7.9","506","7.9","273","4.3","0","0.0","0","116","17.9%","64","9","8","33","10","3","3","1","80"
"57","Brandin Cooks (HOU)","10","53","550","10.4","380","7.2","380","7.2","170","3.2","0","0.0","0","69","10.6%","53","2","6","19","4","4","2","1","50"
"58","Percy Harvin (FA)","13","51","483","9.5","224","4.4","224","4.4","259","5.1","0","0.0","0","78","18.1%","51","3","9","14","6","4","2","0","45"
"59","Markus Wheaton (FA)","16","53","644","12.2","487","9.2","487","9.2","157","3.0","0","0.0","0","86","14.3%","53","2","7","30","5","4","2","0","47"
"60","Jarius Wright (FA)","16","42","588","14.0","261","6.2","261","6.2","327","7.8","0","0.0","0","62","12.2%","42","5","5","23","9","3","2","2","87"
"61","Nate Washington (FA)","16","40","647","16.2","507","12.7","507","12.7","140","3.5","0","0.0","0","72","14.3%","40","4","9","28","11","3","2","1","80"
"62","Dwayne Bowe (FA)","15","60","754","12.6","526","8.8","526","8.8","228","3.8","0","0.0","0","95","19.6%","60","7","8","37","9","2","0","0","37"
"63","Riley Cooper (FA)","16","55","577","10.5","424","7.7","424","7.7","153","2.8","0","0.0","0","95","15.5%","55","3","14","25","5","1","1","1","50"
"64","Devin Hester (FA)","16","38","504","13.3","247","6.5","247","6.5","257","6.8","0","0.0","0","59","9.5%","38","3","7","22","7","3","1","0","46"
"65","Harry Douglas (FA)","12","51","556","10.9","318","6.2","318","6.2","238","4.7","0","0.0","0","74","11.9%","51","2","7","24","3","1","1","0","41"
"66","Taylor Gabriel (FA)","16","36","621","17.3","366","10.2","366","10.2","255","7.1","0","0.0","0","72","14.4%","36","4","9","24","10","6","4","1","70"
"67","Miles Austin (FA)","12","47","568","12.1","368","7.8","368","7.8","200","4.3","0","0.0","0","72","14.4%","47","4","5","29","7","2","0","0","31"
"68","Allen Robinson II (LAR)","10","48","548","11.4","389","8.1","389","8.1","159","3.3","0","0.0","0","81","14.6%","48","1","5","20","5","4","2","1","54"
"69","Justin Hunter (FA)","12","28","498","17.8","320","11.4","320","11.4","178","6.4","0","0.0","0","67","13.3%","28","7","7","20","7","5","2","1","75"
"70","Jerricho Cotchery (FA)","15","48","580","12.1","381","7.9","381","7.9","199","4.1","0","0.0","0","78","14.4%","48","3","6","24","7","2","1","0","47"
"71","Cecil Shorts (FA)","13","53","557","10.5","298","5.6","298","5.6","259","4.9","0","0.0","0","110","19.9%","53","7","14","21","7","3","1","1","53"
"72","Hakeem Nicks (FA)","16","38","405","10.7","275","7.2","275","7.2","130","3.4","0","0.0","0","68","10.5%","38","4","14","17","7","0","0","0","29"
"73","Donte Moncrief (FA)","16","32","444","13.9","236","7.4","236","7.4","208","6.5","0","0.0","0","49","7.6%","32","2","3","12","7","4","3","2","79"
"74","Davante Adams (LV)","16","38","446","11.7","273","7.2","273","7.2","173","4.6","0","0.0","0","66","12.4%","38","4","11","19","5","2","1","0","45"
"75","Chris Hogan (FA)","16","41","426","10.4","246","6.0","246","6.0","180","4.4","0","0.0","0","61","10.7%","41","2","9","20","5","1","0","0","31"
"76","Cole Beasley (FA)","16","37","420","11.4","174","4.7","174","4.7","246","6.6","0","0.0","0","49","10.4%","37","0","6","20","4","1","1","0","45"
"77","Jermaine Kearse (FA)","15","38","537","14.1","314","8.3","314","8.3","223","5.9","0","0.0","0","69","16.0%","38","3","8","18","7","4","3","2","60"
"78","Steve Johnson (FA)","13","35","435","12.4","250","7.1","250","7.1","185","5.3","0","0.0","0","50","10.3%","35","2","4","19","8","2","0","0","32"
"79","Charles Johnson (FA)","12","31","475","15.3","304","9.8","304","9.8","171","5.5","0","0.0","0","59","11.6%","31","1","1","19","9","2","2","1","56"
"80","Brian Hartline (FA)","16","39","474","12.2","353","9.1","353","9.1","121","3.1","0","0.0","0","63","10.6%","39","5","7","22","4","3","0","0","35"
"81","Tavon Austin (FA)","15","31","242","7.8","73","2.4","73","2.4","169","5.5","0","0.0","0","44","8.7%","31","3","0","6","2","0","0","0","28"
"82","Wes Welker (FA)","14","49","464","9.5","271","5.5","271","5.5","193","3.9","0","0.0","0","64","10.6%","49","2","9","15","5","3","0","0","39"
"83","Jeremy Kerley (FA)","16","38","409","10.8","259","6.8","259","6.8","150","3.9","0","0.0","0","75","15.6%","38","4","9","19","3","1","0","0","33"
"84","Brian Quick (FA)","7","25","375","15.0","303","12.1","303","12.1","72","2.9","0","0.0","0","39","7.7%","25","2","3","16","5","2","2","1","51"
"85","Andre Roberts (CAR)","16","36","453","12.6","246","6.8","246","6.8","207","5.8","0","0.0","0","73","15.2%","36","7","10","18","7","2","1","1","61"
"86","Preston Parker (FA)","16","36","418","11.6","300","8.3","300","8.3","118","3.3","0","0.0","0","56","9.5%","36","4","8","20","4","1","1","0","42"
"87","Stedman Bailey (FA)","14","30","435","14.5","253","8.4","253","8.4","182","6.1","0","0.0","0","46","9.1%","30","3","4","18","6","3","0","0","38"
"88","Travis Benjamin (FA)","16","18","314","17.4","271","15.1","271","15.1","43","2.4","0","0.0","0","46","7.7%","18","5","5","11","8","3","1","0","43"
"89","Louis Murphy (FA)","11","31","380","12.3","253","8.2","253","8.2","127","4.1","0","0.0","0","56","10.7%","31","6","6","11","6","3","2","1","54"
"90","Marqise Lee (FA)","13","37","422","11.4","244","6.6","244","6.6","178","4.8","0","0.0","0","68","12.3%","37","6","6","15","6","4","0","0","37"
"91","Corey Brown (FA)","13","21","296","14.1","244","11.6","244","11.6","52","2.5","0","0.0","0","36","6.9%","21","1","2","13","3","2","1","0","47"
"92","Kamar Aiken (FA)","16","24","267","11.1","206","8.6","206","8.6","61","2.5","0","0.0","0","32","5.9%","24","1","6","13","2","0","0","0","24"
"93","Jason Avant (FA)","16","34","353","10.4","207","6.1","207","6.1","146","4.3","0","0.0","0","62","11.5%","34","5","4","12","4","1","1","0","41"
"94","Damaris Johnson (FA)","16","31","331","10.7","148","4.8","148","4.8","183","5.9","0","0.0","0","49","10.2%","31","6","5","14","4","3","2","0","44"
"95","Brice Butler (FA)","15","21","280","13.3","197","9.4","197","9.4","83","4.0","0","0.0","0","36","5.8%","21","2","4","12","2","2","2","1","55"
"96","Victor Cruz (FA)","6","23","337","14.7","163","7.1","163","7.1","174","7.6","0","0.0","0","41","6.8%","23","6","4","12","7","2","1","1","61"
"97","Brandon Gibson (FA)","14","29","295","10.2","186","6.4","186","6.4","109","3.8","0","0.0","0","51","8.6%","29","4","6","12","1","1","1","0","40"
"98","Brandon Lloyd (FA)","14","14","294","21.0","220","15.7","220","15.7","74","5.3","0","0.0","0","35","7.2%","14","1","1","10","5","3","1","1","80"
"99","Jaron Brown (FA)","16","22","229","10.4","168","7.6","168","7.6","61","2.8","0","0.0","0","32","5.7%","22","2","6","9","4","0","0","0","26"
"100","Lance Moore (FA)","14","14","198","14.1","158","11.3","158","11.3","40","2.9","0","0.0","0","26","4.3%","14","3","6","8","4","0","0","0","29"
"101","Jeremy Ross (FA)","16","24","314","13.1","176","7.3","176","7.3","138","5.8","0","0.0","0","35","5.8%","24","2","3","13","4","2","1","1","59"
"102","Paul Richardson Jr. (FA)","15","29","271","9.3","206","7.1","206","7.1","65","2.2","0","0.0","0","44","10.2%","29","1","4","13","3","1","0","0","32"
"103","De'Anthony Thomas (FA)","12","23","156","6.8","-13","-0.6","-13","-0.6","169","7.3","0","0.0","0","31","6.4%","23","2","6","7","1","1","0","0","30"
"104","Ricardo Lockette (FA)","16","11","195","17.7","127","11.5","127","11.5","68","6.2","0","0.0","0","15","3.5%","11","1","0","7","3","3","1","0","48"
"105","Derek Hagan (FA)","16","19","254","13.4","226","11.9","226","11.9","28","1.5","0","0.0","0","34","6.7%","19","3","1","9","5","1","0","0","38"
"106","Josh Gordon (FA)","5","24","303","12.6","142","5.9","142","5.9","161","6.7","0","0.0","0","47","9.4%","24","2","3","15","3","1","0","0","32"
"107","Bruce Ellington (FA)","13","6","62","10.3","29","4.8","29","4.8","33","5.5","0","0.0","0","12","2.5%","6","0","3","2","1","0","0","0","20"
"108","Kenbrell Thompkins (FA)","14","21","262","12.5","167","8.0","167","8.0","95","4.5","0","0.0","0","47","7.8%","21","3","1","11","2","2","1","1","50"
"109","Danny Amendola (FA)","16","27","200","7.4","126","4.7","126","4.7","74","2.7","0","0.0","0","42","7.0%","27","3","3","7","1","0","0","0","21"
"110","Albert Wilson (FA)","12","16","260","16.3","141","8.8","141","8.8","119","7.4","0","0.0","0","28","5.8%","16","2","2","12","4","2","1","0","48"
"111","Nick Toon (FA)","8","17","215","12.6","173","10.2","173","10.2","42","2.5","0","0.0","0","23","3.5%","17","1","3","12","3","0","0","0","24"
"112","Rishard Matthews (FA)","14","12","135","11.3","93","7.8","93","7.8","42","3.5","0","0.0","0","22","3.7%","12","2","3","7","2","0","0","0","23"
"113","Marlon Brown (FA)","14","24","255","10.6","157","6.5","157","6.5","98","4.1","0","0.0","0","31","5.7%","24","0","0","15","1","0","0","0","22"
"114","Brandon Tate (FA)","16","17","193","11.4","122","7.2","122","7.2","71","4.2","0","0.0","0","26","4.8%","17","0","2","8","1","1","1","1","50"
"115","Corey Fuller (FA)","16","14","212","15.1","171","12.2","171","12.2","41","2.9","0","0.0","0","31","5.3%","14","1","3","9","3","1","1","1","52"
"116","Greg Salas (FA)","10","8","167","20.9","53","6.6","53","6.6","114","14.3","0","0.0","0","23","4.8%","8","3","1","5","4","2","1","1","51"
"117","Chris Givens (FA)","14","11","159","14.5","115","10.5","115","10.5","44","4.0","0","0.0","0","20","3.9%","11","0","1","6","3","2","1","0","47"
"118","Eric Weems (FA)","16","10","102","10.2","74","7.4","74","7.4","28","2.8","0","0.0","0","11","1.8%","10","0","2","3","1","1","1","0","40"
"119","Chris Owusu (FA)","8","6","78","13.0","74","12.3","74","12.3","4","0.7","0","0.0","0","6","1.1%","6","0","1","2","1","1","0","0","36"
"120","Brenton Bersin (FA)","15","13","151","11.6","117","9.0","117","9.0","34","2.6","0","0.0","0","20","3.7%","13","1","2","8","2","0","0","0","29"
"121","Mike Williams (FA)","9","8","142","17.8","107","13.4","107","13.4","35","4.4","0","0.0","0","19","3.3%","8","2","5","3","2","1","1","1","80"
"122","Ted Ginn Jr. (FA)","16","14","190","13.6","144","10.3","144","10.3","46","3.3","0","0.0","0","26","4.6%","14","3","2","8","3","0","0","0","27"
"123","Marquess Wilson (FA)","7","17","140","8.2","89","5.2","89","5.2","51","3.0","0","0.0","0","32","5.3%","17","3","3","6","0","0","0","0","17"
"124","Adam Thielen (MIN)","16","8","137","17.1","103","12.9","103","12.9","34","4.3","0","0.0","0","13","2.5%","8","0","1","7","2","1","1","0","44"
"125","Austin Pettis (FA)","5","12","118","9.8","68","5.7","68","5.7","50","4.2","0","0.0","0","18","3.6%","12","2","3","6","1","0","0","0","27"
"126","Michael Campanaro (FA)","4","7","102","14.6","67","9.6","67","9.6","35","5.0","0","0.0","0","9","1.7%","7","0","2","5","0","0","0","0","19"
"127","Josh Morgan (FA)","14","10","70","7.0","20","2.0","20","2.0","50","5.0","0","0.0","0","19","3.1%","10","1","3","2","0","0","0","0","13"
"128","Joe Morgan (FA)","5","4","92","23.0","69","17.3","69","17.3","23","5.8","0","0.0","0","10","1.5%","4","1","0","2","1","1","1","1","62"
"129","Dontrelle Inman (FA)","7","12","158","13.2","144","12.0","144","12.0","14","1.2","0","0.0","0","17","3.0%","12","1","0","6","1","0","0","0","28"
"130","Donnie Avery (FA)","6","15","176","11.7","139","9.3","139","9.3","37","2.5","0","0.0","0","26","5.4%","15","1","4","7","3","0","0","0","27"
"131","Trevor Graham (FA)","12","3","87","29.0","66","22.0","66","22.0","21","7.0","0","0.0","0","8","1.7%","3","0","1","2","1","1","1","1","67"
"132","Rod Streater (FA)","3","9","84","9.3","54","6.0","54","6.0","30","3.3","0","0.0","0","13","2.1%","9","1","1","3","0","0","0","0","17"
"133","Brian Tyms (FA)","11","5","82","16.4","79","15.8","79","15.8","3","0.6","0","0.0","0","11","1.8%","5","1","1","2","1","1","1","0","43"
"134","James Wright (FA)","17","5","91","18.2","55","11.0","55","11.0","36","7.2","0","0.0","0","16","3.2%","5","0","0","4","2","1","0","0","30"
"135","Vincent Brown (FA)","7","12","118","9.8","71","5.9","71","5.9","47","3.9","0","0.0","0","21","3.4%","12","0","0","6","1","0","0","0","20"
"136","Robert Herron (FA)","8","6","58","9.7","32","5.3","32","5.3","26","4.3","0","0.0","0","12","2.3%","6","2","1","2","0","0","0","0","16"
"137","Santana Moss (FA)","10","10","116","11.6","42","4.2","42","4.2","74","7.4","0","0.0","0","15","2.8%","10","1","1","6","0","0","0","0","19"
"138","Robert Meachem (FA)","11","7","114","16.3","93","13.3","93","13.3","21","3.0","0","0.0","0","21","3.2%","7","1","2","7","2","0","0","0","25"
"139","Corey Washington (FA)","14","5","52","10.4","38","7.6","38","7.6","14","2.8","0","0.0","0","8","1.3%","5","0","4","3","1","0","0","0","20"
"140","Junior Hemingway (FA)","14","12","108","9.0","40","3.3","40","3.3","68","5.7","0","0.0","0","21","4.3%","12","3","1","5","0","0","0","0","17"
"141","Jacoby Jones (FA)","16","9","131","14.6","48","5.3","48","5.3","83","9.2","0","0.0","0","18","3.7%","9","5","0","6","2","2","0","0","31"
"142","Kevin Norwood (FA)","9","9","102","11.3","62","6.9","62","6.9","40","4.4","0","0.0","0","10","2.3%","9","0","0","6","1","1","0","0","31"
"143","Denarius Moore (FA)","10","12","115","9.6","75","6.3","75","6.3","40","3.3","0","0.0","0","27","4.4%","12","3","3","5","1","0","0","0","28"
"144","A.J. Jenkins (FA)","9","9","93","10.3","50","5.6","50","5.6","43","4.8","0","0.0","0","15","3.1%","9","0","2","5","1","0","0","0","27"
"145","Josh Huff (FA)","12","8","98","12.3","21","2.6","21","2.6","77","9.6","0","0.0","0","18","2.9%","8","4","1","3","1","1","1","0","44"
"146","Dane Sanzenbacher (FA)","10","9","105","11.7","62","6.9","62","6.9","43","4.8","0","0.0","0","15","3.0%","9","0","1","5","1","0","0","0","26"
"147","Dwayne Harris (FA)","16","7","116","16.6","80","11.4","80","11.4","36","5.1","0","0.0","0","12","2.5%","7","0","1","4","1","1","1","1","56"
"148","Keshawn Martin (FA)","16","6","78","13.0","21","3.5","21","3.5","57","9.5","0","0.0","0","12","2.5%","6","0","1","3","1","1","0","0","32"
"149","Justin Brown (FA)","8","12","94","7.8","72","6.0","72","6.0","22","1.8","0","0.0","0","21","3.5%","12","2","6","3","0","0","0","0","18"
"150","Greg Little (FA)","6","6","69","11.5","36","6.0","36","6.0","33","5.5","0","0.0","0","12","2.4%","6","1","2","3","1","0","0","0","21"
"151","Ryan Grant (FA)","16","7","68","9.7","45","6.4","45","6.4","23","3.3","0","0.0","0","15","2.8%","7","1","3","3","1","0","0","0","21"
"152","Mike Brown (FA)","5","7","88","12.6","71","10.1","71","10.1","17","2.4","0","0.0","0","15","2.5%","7","3","0","6","0","0","0","0","17"
"153","Santonio Holmes (FA)","9","8","67","8.4","42","5.3","42","5.3","25","3.1","0","0.0","0","14","2.4%","8","0","1","3","0","0","0","0","15"
"154","David Nelson (FA)","6","8","65","8.1","62","7.8","62","7.8","3","0.4","0","0.0","0","16","3.3%","8","0","3","2","0","0","0","0","17"
"155","Russell Shepard (FA)","16","4","63","15.8","41","10.3","41","10.3","22","5.5","0","0.0","0","8","1.5%","4","0","0","3","2","0","0","0","23"
"156","Bryan Walters (FA)","13","6","57","9.5","18","3.0","18","3.0","39","6.5","0","0.0","0","11","2.1%","6","1","0","4","0","0","0","0","17"
"157","Kris Durham (FA)","4","6","54","9.0","39","6.5","39","6.5","15","2.5","0","0.0","0","11","2.2%","6","0","0","3","0","0","0","0","14"
"158","Kevin Ogletree (FA)","7","5","50","10.0","36","7.2","36","7.2","14","2.8","0","0.0","0","9","1.5%","5","0","1","3","0","0","0","0","15"
"159","Marquise Goodwin (SEA)","10","1","42","42.0","36","36.0","36","36.0","6","6.0","0","0.0","0","9","1.6%","1","0","1","1","1","1","1","0","42"
"160","Andre Caldwell (FA)","16","5","47","9.4","29","5.8","29","5.8","18","3.6","0","0.0","0","15","2.5%","5","3","1","2","0","0","0","0","15"
"161","Jeff Maehl (FA)","8","5","46","9.2","35","7.0","35","7.0","11","2.2","0","0.0","0","5","0.8%","5","0","0","2","0","0","0","0","15"
"162","Seyi Ajirotutu (FA)","16","4","45","11.3","35","8.8","35","8.8","10","2.5","0","0.0","0","12","2.1%","4","2","0","2","0","0","0","0","17"
"163","Frankie Hammond (FA)","16","4","45","11.3","30","7.5","30","7.5","15","3.8","0","0.0","0","11","2.2%","4","2","2","1","1","0","0","0","22"
"164","Quinton Patton (FA)","4","3","44","14.7","44","14.7","44","14.7","0","0.0","0","0.0","0","8","1.7%","3","0","0","1","1","1","0","0","35"
"165","Jerrel Jernigan (FA)","2","6","40","6.7","30","5.0","30","5.0","10","1.7","0","0.0","0","9","1.5%","6","1","0","1","0","0","0","0","11"
"166","Aaron Dobson (FA)","4","3","38","12.7","17","5.7","17","5.7","21","7.0","0","0.0","0","5","0.8%","3","0","0","2","0","0","0","0","16"
"167","Ace Sanders (FA)","12","6","55","9.2","31","5.2","31","5.2","24","4.0","0","0.0","0","7","1.2%","6","1","0","2","1","0","0","0","24"
"168","Ryan Broyles (FA)","5","2","25","12.5","16","8.0","16","8.0","9","4.5","0","0.0","0","5","0.8%","2","0","1","1","1","0","0","0","21"
"169","Jarrett Boykin (FA)","13","3","23","7.7","-4","-1.3","-4","-1.3","27","9.0","0","0.0","0","12","2.3%","3","3","2","1","0","0","0","0","11"
"170","Cody Latimer (FA)","8","2","23","11.5","7","3.5","7","3.5","16","8.0","0","0.0","0","4","0.7%","2","0","0","1","0","0","0","0","14"
"171","Devin Street (FA)","16","2","18","9.0","13","6.5","13","6.5","5","2.5","0","0.0","0","7","1.5%","2","0","1","0","0","0","0","0","9"
"172","Darrius Heyward-Bey (FA)","16","3","33","11.0","33","11.0","33","11.0","0","0.0","0","0.0","0","5","0.8%","3","1","0","2","0","0","0","0","17"
""
""
