"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Antonio Brown (FA)","16","129","1,698","13.2","1,098","8.5","1,098","8.5","600","4.7","0","0.0","0","181","30.1%","129","5","33","72","19","9","4","2","63"
"2","Demaryius Thomas (FA)","16","111","1,619","14.6","977","8.8","977","8.8","642","5.8","0","0.0","0","184","30.5%","111","9","39","64","25","9","6","2","86"
"3","Jordy Nelson (FA)","16","98","1,519","15.5","1,018","10.4","1,018","10.4","501","5.1","0","0.0","0","151","28.4%","98","8","25","61","19","9","8","6","80"
"4","Dez Bryant (FA)","16","88","1,320","15.0","913","10.4","913","10.4","407","4.6","0","0.0","0","137","29.1%","88","5","14","50","22","9","5","3","68"
"5","Odell Beckham Jr.","12","91","1,305","14.3","819","9.0","819","9.0","486","5.3","0","0.0","0","130","21.7%","91","2","25","45","16","8","6","4","80"
"6","Randall Cobb (GB)","16","91","1,287","14.1","703","7.7","703","7.7","584","6.4","0","0.0","0","127","23.9%","91","8","25","55","24","7","3","1","70"
"7","Emmanuel Sanders (FA)","16","101","1,404","13.9","1,051","10.4","1,051","10.4","353","3.5","0","0.0","0","141","23.4%","101","2","19","58","24","13","4","0","48"
"8","Julio Jones (TB)","15","104","1,593","15.3","1,055","10.1","1,055","10.1","538","5.2","0","0.0","0","163","26.2%","104","8","11","71","31","6","3","1","79"
"9","Jeremy Maclin (FA)","16","85","1,318","15.5","822","9.7","822","9.7","496","5.8","0","0.0","0","143","23.4%","85","1","12","50","21","7","7","7","72"
"10","Mike Evans (TB)","15","68","1,051","15.5","878","12.9","878","12.9","173","2.5","0","0.0","0","123","23.5%","68","4","13","39","20","9","4","2","56"
"11","Alshon Jeffery (FA)","16","85","1,133","13.3","667","7.8","667","7.8","466","5.5","0","0.0","0","145","23.8%","85","5","21","47","17","6","3","1","74"
"12","T.Y. Hilton (FA)","15","82","1,345","16.4","975","11.9","975","11.9","370","4.5","0","0.0","0","131","20.2%","82","5","11","53","21","13","6","1","73"
"13","Golden Tate (FA)","16","99","1,331","13.4","641","6.5","641","6.5","690","7.0","0","0.0","0","144","24.4%","99","6","11","51","17","9","5","3","73"
"14","Calvin Johnson (FA)","13","71","1,077","15.2","848","11.9","848","11.9","229","3.2","0","0.0","0","128","21.7%","71","7","13","50","16","3","3","2","67"
"15","DeAndre Hopkins (ARI)","16","76","1,210","15.9","837","11.0","837","11.0","373","4.9","0","0.0","0","127","26.5%","76","3","12","45","20","11","6","3","76"
"16","DeSean Jackson (BAL)","15","56","1,169","20.9","699","12.5","699","12.5","470","8.4","0","0.0","0","95","17.5%","56","4","10","31","16","15","13","8","81"
