"Rank","Player","Team","Position","Points","Games","Avg"
"1","David Johnson","ARI","RB","407.8","16","25.5"
"2","Aaron Rodgers","GB","QB","380.0","16","23.8"
"3","Matt Ryan","ATL","QB","347.5","16","21.7"
"4","Drew Brees","NO","QB","332.3","16","20.8"
"5","Ezekiel Elliott","DAL","RB","325.4","15","21.7"
"6","Le'Veon Bell","PIT","RB","317.4","12","26.5"
"7","Andrew Luck","IND","QB","307.6","15","20.5"
"8","Antonio Brown","PIT","WR","307.3","15","20.5"
"9","Jordy Nelson","GB","WR","304.7","16","19.0"
"10","Mike Evans","TB","WR","304.1","16","19.0"
"11","Kirk Cousins","WAS","QB","300.3","16","18.8"
"12","LeSean McCoy","BUF","RB","298.3","15","19.9"
"13","Odell Beckham Jr.","NYG","WR","296.6","16","18.5"
"14","DeMarco Murray","TEN","RB","293.8","16","18.4"
"15","Dak Prescott","DAL","QB","287.1","16","17.9"
"16","Devonta Freeman","ATL","RB","284.1","16","17.8"
"17","Matthew Stafford","DET","QB","279.7","16","17.5"
"18","T.Y. Hilton","IND","WR","273.8","16","17.1"
"19","Blake Bortles","JAC","QB","271.1","16","16.9"
"20","Tyrod Taylor","BUF","QB","270.9","15","18.1"
"21","Russell Wilson","SEA","QB","270.1","16","16.9"
"22","Derek Carr","LV","QB","268.7","15","17.9"
"23","Andy Dalton","CIN","QB","260.6","16","16.3"
"24","Julio Jones","ATL","WR","259.9","14","18.6"
"24","Marcus Mariota","TEN","QB","259.9","15","17.3"
"26","Philip Rivers","LAC","QB","258.8","16","16.2"
"27","Tom Brady","NE","QB","258.4","12","21.5"
"28","Jameis Winston","TB","QB","256.2","16","16.0"
"29","Michael Thomas","NO","WR","255.7","15","17.1"
"30","Cam Newton","CAR","QB","254.3","15","17.0"
"31","Doug Baldwin","SEA","WR","253.6","16","15.9"
"32","Ben Roethlisberger","PIT","QB","252.3","14","18.0"
"33","Melvin Gordon III","LAC","RB","250.6","13","19.3"
"34","Davante Adams","GB","WR","246.7","16","15.4"
"35","Brandin Cooks","NO","WR","246.3","16","15.4"
"36","Larry Fitzgerald","ARI","WR","243.8","16","15.2"
"37","Carson Palmer","ARI","QB","243.1","15","16.2"
"38","Joe Flacco","BAL","QB","242.5","16","15.2"
"39","Mark Ingram II","NO","RB","242.2","16","15.1"
"40","Michael Crabtree","LV","WR","239.3","16","15.0"
"41","LeGarrette Blount","NE","RB","232.9","16","14.6"
"42","Amari Cooper","LV","WR","232.3","16","14.5"
"43","Jarvis Landry","MIA","WR","231.3","16","14.5"
"44","Julian Edelman","NE","WR","230.3","16","14.4"
"45","Jordan Howard","CHI","RB","230.1","15","15.3"
"46","Demaryius Thomas","DEN","WR","226.3","16","14.1"
"47","Alex Smith","KC","QB","224.9","15","15.0"
"48","Eli Manning","NYG","QB","224.1","16","14.0"
"49","Golden Tate","DET","WR","223.1","16","13.9"
"50","Travis Kelce","KC","TE","223.0","16","13.9"
"51","Sam Bradford","MIN","QB","221.9","15","14.8"
"52","Tyrell Williams","LAC","WR","216.9","16","13.6"
"53","Jay Ajayi","MIA","RB","215.3","15","14.4"
"54","Frank Gore","IND","RB","214.2","16","13.4"
"55","Carson Wentz","PHI","QB","214.0","16","13.4"
"56","Terrelle Pryor Sr.","CLE","WR","213.4","16","13.3"
"57","Emmanuel Sanders","DEN","WR","212.6","16","13.3"
"58","Rishard Matthews","TEN","WR","211.5","16","13.2"
"59","Kyle Rudolph","MIN","TE","209.0","16","13.1"
"60","Latavius Murray","LV","RB","208.2","14","14.9"
"61","Greg Olsen","CAR","TE","207.3","16","13.0"
"62","Isaiah Crowell","CLE","RB","205.1","16","12.8"
"63","Mike Wallace","BAL","WR","202.8","16","12.7"
"64","Pierre Garcon","WAS","WR","201.1","16","12.6"
