"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"104","Darrius Heyward-Bey (FA)","10","6","114","19.0","96","16.0","96","16.0","18","3.0","0","0.0","0","19","3.2%","14","3","0","3","2","2","1","0","46"
"105","Cobi Hamilton (FA)","11","17","234","13.8","212","12.5","212","12.5","22","1.3","7","0.4","0","28","4.7%","34","1","2","11","4","1","0","0","39"
"106","Paul Richardson Jr. (FA)","15","21","288","13.7","193","9.2","193","9.2","95","4.5","7","0.3","0","36","6.6%","42","0","1","15","3","1","0","0","39"
"107","Deonte Thompson (FA)","16","22","249","11.3","206","9.4","206","9.4","43","2.0","27","1.2","2","36","6.2%","46","2","4","12","2","0","0","0","24"
"108","Bryan Walters (FA)","10","24","231","9.6","133","5.5","133","5.5","98","4.1","27","1.1","1","34","5.5%","50","1","2","11","1","0","0","0","23"
"109","Corey Brown (FA)","16","27","276","10.2","164","6.1","164","6.1","112","4.1","6","0.2","0","53","9.6%","53","2","4","14","1","0","0","0","27"
"110","Geronimo Allison (FA)","10","12","202","16.8","152","12.7","152","12.7","50","4.2","3","0.3","0","22","3.6%","22","0","2","9","3","3","0","0","39"
"111","Eric Decker (FA)","3","9","194","21.6","164","18.2","164","18.2","30","3.3","13","1.4","0","21","3.8%","20","0","2","8","5","2","0","0","35"
"112","Rod Streater (FA)","16","18","191","10.6","124","6.9","124","6.9","67","3.7","28","1.6","1","27","5.5%","38","3","1","10","1","0","0","0","25"
"113","Jordan Taylor (FA)","16","16","209","13.1","127","7.9","127","7.9","82","5.1","12","0.8","1","25","4.5%","34","0","3","9","4","1","0","0","35"
"114","Andre Holmes (FA)","16","14","126","9.0","100","7.1","100","7.1","26","1.9","10","0.7","2","25","4.2%","29","0","2","5","2","0","0","0","23"
"115","Tanner McEvoy (FA)","14","9","140","15.6","110","12.2","110","12.2","30","3.3","8","0.9","0","11","2.0%","19","1","0","6","2","1","1","0","42"
"116","Chester Rogers (CLE)","14","19","273","14.4","222","11.7","222","11.7","51","2.7","25","1.3","1","34","5.9%","39","2","1","11","6","1","0","0","36"
"117","Bennie Fowler III (FA)","13","11","145","13.2","81","7.4","81","7.4","64","5.8","2","0.2","0","24","4.3%","25","2","3","3","1","1","1","1","76"
"118","Jeff Janis (FA)","16","11","93","8.5","63","5.7","63","5.7","30","2.7","8","0.7","0","19","3.1%","24","2","1","2","1","0","0","0","25"
"119","Jaron Brown (FA)","7","11","187","17.0","129","11.7","129","11.7","58","5.3","19","1.7","1","22","3.5%","23","0","0","8","3","1","1","1","51"
"120","Jalin Marshall (FA)","10","14","162","11.6","116","8.3","116","8.3","46","3.3","21","1.5","0","23","4.2%","29","0","2","8","3","0","0","0","27"
"121","Charles Johnson (FA)","16","20","232","11.6","162","8.1","162","8.1","70","3.5","27","1.4","1","37","6.3%","40","2","1","9","3","2","1","0","40"
"122","Jordan Norwood (FA)","14","21","232","11.0","163","7.8","163","7.8","69","3.3","28","1.3","4","35","6.3%","43","0","2","7","3","1","0","0","36"
"123","Andre Roberts (CAR)","16","14","188","13.4","125","8.9","125","8.9","63","4.5","22","1.6","0","25","4.4%","30","2","2","8","3","1","1","0","44"
"124","Marquess Wilson (FA)","3","9","160","17.8","110","12.2","110","12.2","50","5.6","23","2.6","0","16","2.9%","19","1","1","7","3","1","0","0","35"
"125","Roger Lewis (FA)","13","7","97","13.9","93","13.3","93","13.3","4","0.6","2","0.3","0","19","3.2%","18","2","0","3","2","1","0","0","30"
"126","Harry Douglas (FA)","11","15","210","14.0","160","10.7","160","10.7","50","3.3","7","0.5","2","22","4.5%","28","0","2","9","5","1","0","0","35"
"127","Ricardo Louis (FA)","16","18","205","11.4","123","6.8","123","6.8","82","4.6","30","1.7","1","35","6.3%","40","3","0","7","3","1","1","0","42"
"128","Andre Johnson (FA)","8","9","85","9.4","70","7.8","70","7.8","15","1.7","2","0.2","0","23","4.7%","20","2","2","2","1","0","0","0","20"
"129","Freddie Martino (FA)","13","8","142","17.8","112","14.0","112","14.0","30","3.8","1","0.1","0","11","1.9%","14","0","0","5","2","1","1","0","43"
"130","Cody Core (FA)","8","17","200","11.8","82","4.8","82","4.8","118","6.9","27","1.6","0","27","5.0%","35","1","0","6","3","2","1","1","50"
"131","Kevin White (NO)","4","19","187","9.8","133","7.0","133","7.0","54","2.8","21","1.1","1","36","6.5%","37","2","3","7","1","1","0","0","32"
"132","Josh Huff (FA)","10","16","113","7.1","-1","-0.1","-1","-0.1","114","7.1","47","2.9","4","23","3.8%","30","1","1","7","0","0","0","0","17"
"133","Charone Peake (FA)","15","19","186","9.8","115","6.1","115","6.1","71","3.7","41","2.2","2","35","6.4%","42","3","1","8","1","0","0","0","27"
"134","Arrelious Benn (FA)","15","5","116","23.2","63","12.6","63","12.6","53","10.6","13","2.6","1","10","1.6%","12","2","1","3","2","2","1","1","51"
"135","Vincent Jackson (FA)","5","15","173","11.5","157","10.5","157","10.5","16","1.1","10","0.7","0","32","5.6%","34","3","1","10","0","0","0","0","18"
"136","Brandon Tate (FA)","15","8","117","14.6","65","8.1","65","8.1","52","6.5","9","1.1","0","11","1.7%","17","2","0","5","2","1","0","0","34"
"137","Braxton Miller (FA)","10","15","99","6.6","47","3.1","47","3.1","52","3.5","17","1.1","0","28","4.9%","30","3","2","6","0","0","0","0","12"
"138","Cecil Shorts (FA)","9","11","152","13.8","107","9.7","107","9.7","45","4.1","7","0.6","0","27","4.7%","25","2","0","9","2","0","0","0","22"
"139","Greg Salas (FA)","2","4","89","22.3","56","14.0","56","14.0","33","8.3","2","0.5","0","6","1.3%","8","0","1","2","1","1","1","1","71"
"140","Walter Powell (FA)","9","14","142","10.1","97","6.9","97","6.9","45","3.2","15","1.1","0","25","5.4%","31","3","2","7","1","1","0","0","35"
"141","Chris Harper (FA)","9","13","133","10.2","69","5.3","69","5.3","64","4.9","3","0.2","0","21","4.3%","27","1","0","6","0","0","0","0","19"
"142","Markus Wheaton (FA)","3","4","51","12.8","43","10.8","43","10.8","8","2.0","1","0.3","0","9","1.5%","10","1","1","2","1","1","0","0","30"
"143","Jaelen Strong (FA)","8","14","131","9.4","99","7.1","99","7.1","32","2.3","5","0.4","0","24","4.2%","29","1","1","3","1","1","0","0","36"
"144","Jarius Wright (FA)","8","11","67","6.1","25","2.3","25","2.3","42","3.8","12","1.1","0","14","2.4%","22","0","1","2","0","0","0","0","11"
"145","Paul Turner (FA)","4","9","126","14.0","74","8.2","74","8.2","52","5.8","4","0.4","0","14","2.3%","19","1","0","6","1","1","1","0","41"
"146","Brittan Golden (FA)","12","8","82","10.3","70","8.8","70","8.8","12","1.5","6","0.8","0","14","2.9%","16","1","2","4","1","0","0","0","22"
"147","Lucky Whitehead (FA)","15","3","48","16.0","14","4.7","14","4.7","34","11.3","5","1.7","0","3","0.5%","6","0","1","1","1","1","0","0","35"
"148","Demarcus Ayers (FA)","2","6","53","8.8","25","4.2","25","4.2","28","4.7","17","2.8","1","13","2.2%","13","1","2","2","0","0","0","0","15"
"149","James Wright (FA)","16","13","106","8.2","71","5.5","71","5.5","35","2.7","16","1.2","0","19","3.5%","26","0","0","5","0","0","0","0","15"
"150","Jeremy Ross (FA)","6","4","37","9.3","30","7.5","30","7.5","7","1.8","1","0.3","0","4","0.7%","8","0","1","2","0","0","0","0","15"
"151","T.J. Jones (FA)","3","5","93","18.6","63","12.6","63","12.6","30","6.0","14","2.8","0","14","2.4%","12","2","2","2","2","2","0","0","36"
"152","Leonte Carroo (FA)","14","3","29","9.7","16","5.3","16","5.3","13","4.3","7","2.3","0","6","1.3%","6","0","1","2","0","0","0","0","15"
"153","Tommylee Lewis (FA)","12","7","76","10.9","56","8.0","56","8.0","20","2.9","4","0.6","0","11","1.8%","15","1","0","3","1","0","0","0","26"
"154","Bryce Treggs (FA)","9","3","80","26.7","64","21.3","64","21.3","16","5.3","3","1.0","0","12","2.0%","5","0","0","3","1","1","1","1","58"
"155","Pharoh Cooper (FA)","10","14","106","7.6","34","2.4","34","2.4","72","5.1","35","2.5","2","20","4.4%","24","1","0","4","1","0","0","0","23"
"156","Rashard Higgins (CAR)","16","6","77","12.8","46","7.7","46","7.7","31","5.2","7","1.2","0","12","2.2%","13","1","1","5","0","0","0","0","19"
"157","Cody Latimer (FA)","12","8","76","9.5","52","6.5","52","6.5","24","3.0","7","0.9","0","15","2.7%","15","0","0","4","0","0","0","0","16"
"158","Ryan Grant (FA)","16","9","76","8.4","51","5.7","51","5.7","25","2.8","11","1.2","0","19","3.2%","20","1","0","3","0","0","0","0","17"
"159","Wendall Williams (FA)","3","4","75","18.8","66","16.5","66","16.5","9","2.3","5","1.3","1","7","1.2%","8","0","0","3","2","1","0","0","32"
"160","Alex Erickson (WAS)","16","6","71","11.8","40","6.7","40","6.7","31","5.2","4","0.7","1","8","1.5%","12","0","0","3","1","0","0","0","20"
"161","Keith Mumphery (FA)","11","10","69","6.9","49","4.9","49","4.9","20","2.0","8","0.8","0","12","2.1%","20","0","1","3","0","0","0","0","11"
"162","Aaron Burbridge (FA)","16","7","88","12.6","45","6.4","45","6.4","43","6.1","5","0.7","0","16","3.3%","14","0","0","5","1","0","0","0","24"
"163","Maurice Harris (FA)","10","8","66","8.3","56","7.0","56","7.0","10","1.3","0","0.0","0","12","2.2%","15","0","0","3","0","0","0","0","15"
"164","Josh Doctson (FA)","2","2","66","33.0","51","25.5","51","25.5","15","7.5","3","1.5","0","6","1.0%","4","0","1","1","1","1","1","1","57"
"165","Chris Moore (HOU)","15","7","46","6.6","32","4.6","32","4.6","14","2.0","7","1.0","0","16","2.4%","18","4","0","1","0","0","0","0","13"
"166","De'Anthony Thomas (FA)","12","7","35","5.0","11","1.6","11","1.6","24","3.4","6","0.9","0","9","1.7%","13","1","0","1","0","0","0","0","15"
"167","Trevor Davis (FA)","11","3","24","8.0","16","5.3","16","5.3","8","2.7","4","1.3","0","7","1.1%","8","2","0","0","0","0","0","0","9"
"168","Keenan Allen (LAC)","1","6","63","10.5","45","7.5","45","7.5","18","3.0","11","1.8","0","7","1.2%","12","0","0","3","0","0","0","0","15"
"169","Nick Williams (FA)","2","5","59","11.8","18","3.6","18","3.6","41","8.2","16","3.2","0","7","1.3%","11","0","1","4","0","0","0","0","19"
"170","Tavarres King (FA)","7","2","50","25.0","44","22.0","44","22.0","6","3.0","1","0.5","0","4","0.7%","4","0","0","1","1","1","1","0","44"
"171","Quan Bray (FA)","6","3","36","12.0","23","7.7","23","7.7","13","4.3","3","1.0","0","4","0.7%","7","0","0","1","1","0","0","0","22"
"172","Bradley Marquez (FA)","14","3","37","12.3","15","5.0","15","5.0","22","7.3","8","2.7","0","7","0%","8","1","0","3","0","0","0","0","13"
"173","Griff Whalen (FA)","8","2","22","11.0","3","1.5","3","1.5","19","9.5","4","2.0","0","4","0.7%","4","0","0","2","0","0","0","0","12"
"174","Devin Street (FA)","5","1","20","20.0","18","18.0","18","18.0","2","2.0","0","0.0","0","6","1.0%","3","1","0","1","1","0","0","0","20"
"175","Percy Harvin (FA)","2","2","6","3.0","3","1.5","3","1.5","3","1.5","0","0.0","0","4","0.9%","4","0","0","0","0","0","0","0","5"
"176","Brenton Bersin (FA)","10","2","17","8.5","15","7.5","15","7.5","2","1.0","1","0.5","0","6","1.1%","4","0","2","1","0","0","0","0","10"
"177","Mike Thomas (CIN)","15","3","37","12.3","24","8.0","24","8.0","13","4.3","10","3.3","1","9","0%","7","1","0","2","0","0","0","0","16"
"178","Rashad Greene (FA)","8","5","32","6.4","15","3.0","15","3.0","17","3.4","9","1.8","1","8","1.3%","9","0","0","0","0","0","0","0","9"
"179","Isaiah Burse (FA)","9","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","4","0.8%","0","0","1","0","0","0","0","0","0"
""
""
