"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Antonio Brown (FA)","16","136","1,834","13.5","1,242","9.1","1,242","9.1","592","4.4","186","1.4","6","193","33.0%","268","8","23","72","25","11","8","5","59"
"2","Julio Jones (TB)","16","136","1,871","13.8","1,230","9.0","1,230","9.0","641","4.7","290","2.1","7","203","32.9%","274","12","21","79","25","10","5","2","70"
"3","Brandon Marshall (FA)","16","109","1,502","13.8","1,064","9.8","1,064","9.8","438","4.0","189","1.7","4","173","28.7%","226","7","21","72","19","7","5","2","69"
"4","Allen Robinson II (LAR)","16","80","1,400","17.5","1,044","13.1","1,044","13.1","356","4.5","119","1.5","6","151","25.1%","169","10","21","48","31","13","6","2","90"
"5","Odell Beckham Jr. (FA)","15","96","1,450","15.1","860","9.0","860","9.0","590","6.1","211","2.2","4","158","25.7%","197","5","18","49","19","13","8","5","87"
"6","DeAndre Hopkins (ARI)","16","111","1,521","13.7","1,300","11.7","1,300","11.7","221","2.0","63","0.6","2","192","31.3%","231","9","22","71","19","4","3","1","61"
"7","Doug Baldwin (FA)","16","78","1,069","13.7","629","8.1","629","8.1","440","5.6","174","2.2","5","103","21.8%","145","3","15","40","16","7","3","2","80"
"8","A.J. Green (ARI)","16","86","1,297","15.1","963","11.2","963","11.2","334","3.9","120","1.4","2","132","26.7%","171","3","18","48","19","10","5","3","80"
"9","Calvin Johnson (FA)","16","88","1,214","13.8","918","10.4","918","10.4","296","3.4","129","1.5","0","149","24.0%","178","7","16","50","16","7","3","1","57"
"10","Eric Decker (FA)","15","80","1,027","12.8","813","10.2","813","10.2","214","2.7","64","0.8","0","132","21.9%","170","9","28","50","16","2","0","0","35"
