"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"11","Larry Fitzgerald (FA)","16","109","1,215","11.1","749","6.9","749","6.9","466","4.3","105","1.0","0","145","26.4%","199","3","18","52","17","1","1","0","44"
"12","Brandin Cooks (HOU)","16","84","1,138","13.5","754","9.0","754","9.0","384","4.6","68","0.8","3","129","19.5%","173","5","8","41","18","7","5","3","71"
"13","Demaryius Thomas (FA)","16","105","1,304","12.4","828","7.9","828","7.9","476","4.5","212","2.0","5","177","29.3%","211","13","19","55","14","7","4","1","72"
"14","Allen Hurns (FA)","15","64","1,031","16.1","667","10.4","667","10.4","364","5.7","165","2.6","1","105","17.5%","129","2","13","38","19","5","3","3","80"
"15","Jarvis Landry (NO)","16","110","1,157","10.5","624","5.7","624","5.7","533","4.8","231","2.1","6","166","28.6%","222","7","22","55","10","4","3","1","50"
"16","Sammy Watkins (GB)","13","60","1,047","17.5","868","14.5","868","14.5","179","3.0","33","0.6","0","96","20.8%","121","4","6","34","18","11","7","3","63"
"17","Jeremy Maclin (FA)","15","87","1,088","12.5","766","8.8","766","8.8","322","3.7","87","1.0","0","124","26.8%","166","4","13","44","14","9","3","1","61"
"18","Emmanuel Sanders (FA)","15","76","1,135","14.9","753","9.9","753","9.9","382","5.0","52","0.7","1","137","20.5%","155","8","8","42","12","9","6","3","75"
"19","Michael Crabtree (FA)","16","85","922","10.8","658","7.7","658","7.7","264","3.1","120","1.4","6","146","24.3%","174","8","13","35","15","4","0","0","38"
"20","Jordan Matthews (SF)","16","85","997","11.7","583","6.9","583","6.9","414","4.9","104","1.2","6","128","20.6%","170","8","14","34","14","7","3","1","78"
"21","John Brown (FA)","15","65","1,003","15.4","688","10.6","688","10.6","315","4.8","72","1.1","1","101","18.4%","120","5","16","44","11","7","6","2","68"
"22","T.Y. Hilton (FA)","16","69","1,124","16.3","743","10.8","743","10.8","381","5.5","51","0.7","3","134","22.2%","143","5","15","43","17","9","6","2","87"
"23","James Jones (FA)","16","50","890","17.8","669","13.4","669","13.4","221","4.4","52","1.0","2","99","17.5%","103","4","16","32","18","10","2","2","65"
"24","Tavon Austin (FA)","16","52","473","9.1","125","2.4","125","2.4","348","6.7","140","2.7","8","87","18.4%","99","6","9","19","5","2","2","1","66"
"25","Amari Cooper (CLE)","16","72","1,070","14.9","708","9.8","708","9.8","362","5.0","120","1.7","3","130","21.6%","148","18","7","41","16","8","6","2","68"
"26","Ted Ginn Jr. (FA)","15","44","739","16.8","498","11.3","498","11.3","241","5.5","38","0.9","0","96","16.0%","100","11","9","27","10","6","5","2","74"
"27","Mike Evans (TB)","15","74","1,206","16.3","974","13.2","974","13.2","232","3.1","95","1.3","1","148","28.2%","168","17","14","58","21","4","2","1","68"
"28","Rueben Randle (FA)","16","57","797","14.0","596","10.5","596","10.5","201","3.5","66","1.2","1","90","14.6%","121","4","11","27","13","7","5","1","72"
"29","Randall Cobb (GB)","16","79","829","10.5","393","5.0","393","5.0","436","5.5","125","1.6","2","129","22.8%","162","12","21","36","11","2","1","1","53"
"30","Travis Benjamin (FA)","16","68","966","14.2","649","9.5","649","9.5","317","4.7","47","0.7","0","125","20.8%","133","6","14","38","12","6","6","4","61"
"31","Kamar Aiken (FA)","16","75","944","12.6","733","9.8","733","9.8","211","2.8","93","1.2","1","127","19.0%","153","6","8","41","11","5","2","0","48"
"32","Michael Floyd (FA)","15","52","849","16.3","641","12.3","641","12.3","208","4.0","85","1.6","4","89","16.2%","105","4","10","39","13","6","3","1","60"
"33","Martavis Bryant (FA)","11","50","765","15.3","435","8.7","435","8.7","330","6.6","72","1.4","3","92","15.8%","105","11","13","26","10","6","5","3","88"
"34","Golden Tate (FA)","16","90","813","9.0","280","3.1","280","3.1","533","5.9","215","2.4","10","128","20.6%","165","6","17","34","7","3","1","0","43"
"35","Willie Snead IV (SF)","15","69","984","14.3","639","9.3","639","9.3","345","5.0","168","2.4","4","101","15.2%","143","5","9","41","15","6","3","2","63"
"36","Pierre Garcon (FA)","16","72","777","10.8","613","8.5","613","8.5","164","2.3","40","0.6","3","111","20.0%","146","5","15","36","7","2","0","0","39"
"37","Julian Edelman (FA)","9","61","692","11.3","382","6.3","382","6.3","310","5.1","100","1.6","7","88","14.1%","126","9","16","30","8","2","1","1","59"
"38","Donte Moncrief (FA)","16","64","733","11.5","466","7.3","466","7.3","267","4.2","65","1.0","1","105","17.4%","129","4","12","30","9","4","0","0","33"
"39","Marvin Jones Jr. (JAC)","16","65","816","12.6","527","8.1","527","8.1","289","4.4","106","1.6","4","103","20.8%","125","3","12","28","13","6","4","0","47"
"40","Markus Wheaton (FA)","16","44","749","17.0","591","13.4","591","13.4","158","3.6","61","1.4","3","79","13.5%","95","3","15","28","9","6","5","2","72"
"41","Alshon Jeffery (FA)","9","54","807","14.9","630","11.7","630","11.7","177","3.3","74","1.4","1","94","18.1%","108","3","15","39","14","5","3","1","50"
"42","Tyler Lockett (SEA)","16","51","664","13.0","409","8.0","409","8.0","255","5.0","63","1.2","0","69","14.6%","92","3","2","26","9","3","2","0","49"
"43","Terrance Williams (FA)","16","52","840","16.2","565","10.9","565","10.9","275","5.3","51","1.0","0","93","17.9%","109","6","10","40","13","5","1","0","42"
"44","Anquan Boldin (FA)","14","69","789","11.4","507","7.3","507","7.3","282","4.1","145","2.1","3","111","21.1%","136","4","19","32","10","3","1","1","51"
"45","Jermaine Kearse (FA)","16","49","685","14.0","457","9.3","457","9.3","228","4.7","79","1.6","2","68","14.4%","100","5","9","27","13","5","1","1","50"
"46","Stefon Diggs (BUF)","13","52","720","13.8","428","8.2","428","8.2","292","5.6","95","1.8","4","84","19.0%","103","2","6","28","13","8","1","0","40"
"47","Keenan Allen (LAC)","8","67","725","10.8","489","7.3","489","7.3","236","3.5","53","0.8","1","89","13.5%","137","5","6","27","8","3","0","0","38"
"48","Torrey Smith (FA)","16","33","663","20.1","445","13.5","445","13.5","218","6.6","73","2.2","0","62","11.8%","70","7","6","23","8","6","5","3","76"
"49","Rishard Matthews (FA)","11","43","662","15.4","426","9.9","426","9.9","236","5.5","106","2.5","1","61","10.5%","90","6","1","26","10","4","4","1","53"
"50","Nate Washington (FA)","14","47","658","14.0","496","10.6","496","10.6","162","3.4","29","0.6","0","94","15.3%","106","12","13","24","9","5","3","0","49"
"51","Kenny Britt (FA)","16","36","681","18.9","563","15.6","563","15.6","118","3.3","45","1.3","4","72","15.4%","75","6","3","27","11","6","5","3","60"
"52","Steve Smith (FA)","7","46","670","14.6","414","9.0","414","9.0","256","5.6","150","3.3","7","73","10.9%","95","6","9","26","13","4","2","1","50"
"53","Danny Amendola (FA)","14","65","648","10.0","384","5.9","384","5.9","264","4.1","59","0.9","2","87","13.9%","127","2","11","26","5","2","1","0","41"
"54","Dorial Green-Beckham (FA)","16","32","549","17.2","405","12.7","405","12.7","144","4.5","96","3.0","1","67","12.3%","72","6","9","27","10","3","1","0","47"
"55","Seth Roberts (FA)","16","32","480","15.0","350","10.9","350","10.9","130","4.1","41","1.3","1","55","9.2%","69","6","9","20","7","6","1","0","43"
"56","Cole Beasley (FA)","16","52","536","10.3","212","4.1","212","4.1","324","6.2","57","1.1","3","75","14.5%","102","5","17","21","7","1","0","0","30"
"57","Marques Colston (FA)","13","45","520","11.6","328","7.3","328","7.3","192","4.3","57","1.3","3","67","10.1%","97","7","7","23","6","1","1","1","53"
"58","Devin Funchess (FA)","16","31","473","15.3","361","11.6","361","11.6","112","3.6","34","1.1","2","63","12.8%","69","8","11","22","5","3","2","1","52"
"59","DeSean Jackson (BAL)","9","30","528","17.6","370","12.3","370","12.3","158","5.3","43","1.4","0","49","8.8%","56","0","4","14","10","4","4","3","77"
"60","Jamison Crowder (BUF)","16","59","604","10.2","266","4.5","266","4.5","338","5.7","37","0.6","0","78","13.4%","117","6","11","28","7","2","1","0","44"
"61","Vincent Jackson (FA)","10","33","543","16.5","445","13.5","445","13.5","98","3.0","63","1.9","1","62","11.8%","71","2","13","27","13","1","0","0","36"
"62","Andre Johnson (FA)","16","41","503","12.3","356","8.7","356","8.7","147","3.6","26","0.6","0","77","12.7%","86","4","11","24","7","2","0","0","35"
"63","Corey Brown (FA)","14","31","447","14.4","366","11.8","366","11.8","81","2.6","22","0.7","2","54","10.9%","62","3","6","19","9","2","0","0","39"
"64","Malcom Floyd (FA)","15","30","561","18.7","475","15.8","475","15.8","86","2.9","10","0.3","0","69","10.5%","64","2","4","20","10","6","4","2","70"
"65","Robert Woods (TEN)","14","47","552","11.7","397","8.4","397","8.4","155","3.3","18","0.4","1","80","17.3%","97","5","7","24","5","3","0","0","37"
"66","Jerricho Cotchery (FA)","14","39","485","12.4","289","7.4","289","7.4","196","5.0","67","1.7","3","54","10.9%","75","1","10","24","6","2","1","1","59"
"67","Cecil Shorts (FA)","11","42","484","11.5","274","6.5","274","6.5","210","5.0","49","1.2","1","75","12.2%","87","5","7","25","5","3","1","0","42"
"68","Steve Johnson (FA)","10","45","497","11.0","232","5.2","232","5.2","265","5.9","96","2.1","0","65","9.9%","86","4","10","21","7","2","0","0","34"
"69","DeVante Parker (NE)","14","26","494","19.0","396","15.2","396","15.2","98","3.8","33","1.3","0","50","8.6%","55","4","8","20","9","6","2","0","49"
"70","Dwayne Harris (FA)","15","36","396","11.0","259","7.2","259","7.2","137","3.8","26","0.7","0","57","11.0%","75","5","8","18","5","2","0","0","38"
"71","Dontrelle Inman (FA)","14","35","486","13.9","314","9.0","314","9.0","172","4.9","41","1.2","1","63","9.6%","75","6","6","17","6","2","1","1","68"
"72","Brian Hartline (FA)","12","46","523","11.4","357","7.8","357","7.8","166","3.6","47","1.0","1","77","12.8%","92","8","12","25","4","2","1","0","41"
"73","Kenny Stills (FA)","16","27","440","16.3","347","12.9","347","12.9","93","3.4","33","1.2","0","63","10.8%","55","4","5","16","10","4","3","0","47"
"74","Kendall Wright (FA)","10","36","408","11.3","265","7.4","265","7.4","143","4.0","29","0.8","0","60","11.0%","74","3","5","17","4","1","1","1","52"
"75","Mike Wallace (FA)","16","39","473","12.1","304","7.8","304","7.8","169","4.3","20","0.5","0","72","16.3%","76","6","7","24","6","1","0","0","34"
"76","Albert Wilson (FA)","14","35","451","12.9","232","6.6","232","6.6","219","6.3","93","2.7","4","57","12.3%","70","3","6","17","6","3","3","0","44"
"77","Mohamed Sanu Sr. (FA)","16","33","394","11.9","191","5.8","191","5.8","203","6.2","55","1.7","2","49","9.9%","61","1","7","13","8","1","1","1","52"
"78","Dez Bryant (FA)","9","31","401","12.9","270","8.7","270","8.7","131","4.2","24","0.8","1","72","13.9%","66","9","13","19","3","2","2","1","51"
"79","Chris Hogan (FA)","16","36","450","12.5","343","9.5","343","9.5","107","3.0","24","0.7","10","59","12.8%","80","7","5","17","6","4","2","0","46"
"80","Brandon Coleman (FA)","16","30","454","15.1","334","11.1","334","11.1","120","4.0","60","2.0","1","49","7.4%","67","5","4","20","11","3","0","0","31"
"81","Roddy White (FA)","16","43","506","11.8","401","9.3","401","9.3","105","2.4","28","0.7","0","70","11.3%","89","4","8","25","6","0","0","0","25"
"82","Davante Adams (LV)","13","50","483","9.7","347","6.9","347","6.9","136","2.7","56","1.1","3","94","16.6%","106","10","11","16","6","2","1","0","40"
"83","Lance Moore (FA)","14","29","337","11.6","278","9.6","278","9.6","59","2.0","5","0.2","0","43","6.9%","58","0","5","15","7","1","1","0","42"
"84","Brandon LaFell (FA)","11","37","515","13.9","291","7.9","291","7.9","224","6.1","62","1.7","0","74","11.9%","78","11","7","22","7","3","2","1","54"
"85","Marquess Wilson (FA)","11","28","464","16.6","278","9.9","278","9.9","186","6.6","54","1.9","0","51","9.8%","57","3","5","16","8","5","3","1","50"
"86","Leonard Hankerson (FA)","10","26","327","12.6","208","8.0","208","8.0","119","4.6","9","0.3","0","46","7.5%","60","8","9","14","3","1","1","1","55"
"87","Harry Douglas (FA)","14","36","411","11.4","281","7.8","281","7.8","130","3.6","32","0.9","0","72","13.3%","76","3","6","18","4","3","1","1","51"
"88","Josh Huff (FA)","15","27","312","11.6","131","4.9","131","4.9","181","6.7","79","2.9","2","40","6.5%","52","4","5","13","3","2","1","0","41"
"89","Quinton Patton (FA)","16","30","394","13.1","180","6.0","180","6.0","214","7.1","63","2.1","1","57","10.9%","65","5","4","14","7","4","2","0","41"
"90","Jarius Wright (FA)","16","34","442","13.0","267","7.9","267","7.9","175","5.1","51","1.5","2","50","11.3%","63","2","2","21","4","1","1","1","52"
"91","Riley Cooper (FA)","16","21","327","15.6","265","12.6","265","12.6","62","3.0","10","0.5","0","41","6.6%","45","4","1","13","4","3","2","1","62"
"92","Andre Holmes (FA)","16","14","201","14.4","158","11.3","158","11.3","43","3.1","17","1.2","0","33","5.5%","32","5","4","7","4","2","1","0","49"
"93","Darrius Heyward-Bey (FA)","16","21","314","15.0","241","11.5","241","11.5","73","3.5","29","1.4","3","39","6.7%","43","3","2","9","5","4","3","1","66"
"94","Chris Givens (FA)","15","20","353","17.7","301","15.1","301","15.1","52","2.6","15","0.8","0","54","11.5%","45","5","2","13","7","5","1","0","48"
"95","Bryan Walters (FA)","11","32","368","11.5","246","7.7","246","7.7","122","3.8","16","0.5","0","45","7.5%","61","1","9","15","6","1","0","0","31"
"96","J.J. Nelson (FA)","11","11","299","27.2","247","22.5","247","22.5","52","4.7","35","3.2","0","27","4.1%","23","2","0","11","7","4","1","1","64"
"97","Ryan Grant (FA)","16","23","268","11.7","170","7.4","170","7.4","98","4.3","30","1.3","0","42","7.6%","50","3","6","11","3","2","0","0","35"
"98","Keshawn Martin (FA)","9","24","269","11.2","193","8.0","193","8.0","76","3.2","22","0.9","1","37","5.9%","53","5","3","11","2","1","0","0","39"
"99","Jeremy Butler (FA)","8","31","363","11.7","217","7.0","217","7.0","146","4.7","51","1.6","2","44","6.6%","62","2","3","15","5","1","1","0","41"
"100","Josh Bellamy (FA)","16","19","224","11.8","156","8.2","156","8.2","68","3.6","18","0.9","0","34","6.6%","40","4","4","6","3","3","1","0","48"
"101","Jaelen Strong (FA)","10","14","161","11.5","103","7.4","103","7.4","58","4.1","15","1.1","0","24","3.9%","26","1","3","6","2","1","1","0","42"
"102","Justin Hunter (FA)","9","22","264","12.0","231","10.5","231","10.5","33","1.5","6","0.3","0","31","5.7%","47","2","1","13","4","0","0","0","29"
"103","Nelson Agholor (NE)","13","23","283","12.3","188","8.2","188","8.2","95","4.1","9","0.4","0","44","7.1%","50","3","6","9","3","2","2","1","53"
"104","Adam Humphries (FA)","13","27","260","9.6","137","5.1","137","5.1","123","4.6","44","1.6","1","40","7.6%","55","2","4","14","1","0","0","0","27"
"105","Quincy Enunwa (FA)","12","22","315","14.3","167","7.6","167","7.6","148","6.7","60","2.7","3","46","7.6%","55","8","1","13","6","1","1","0","48"
"106","Percy Harvin (FA)","5","19","218","11.5","135","7.1","135","7.1","83","4.4","24","1.3","2","30","6.5%","37","1","3","8","3","1","1","1","51"
"107","Eddie Royal (FA)","9","37","238","6.4","61","1.6","61","1.6","177","4.8","62","1.7","2","50","9.6%","66","3","10","8","2","1","0","0","30"
"108","Marqise Lee (FA)","10","15","191","12.7","100","6.7","100","6.7","91","6.1","23","1.5","0","32","5.3%","31","3","5","9","2","1","0","0","30"
"109","Miles Austin (FA)","11","13","224","17.2","162","12.5","162","12.5","62","4.8","18","1.4","0","31","5.0%","27","3","3","10","4","2","0","0","39"
"110","Phillip Dorsett II (HOU)","11","18","225","12.5","165","9.2","165","9.2","60","3.3","5","0.3","0","39","8.4%","36","2","1","8","4","1","0","0","35"
"111","Marc Mariani (FA)","16","22","300","13.6","170","7.7","170","7.7","130","5.9","48","2.2","3","33","5.8%","41","0","4","15","6","0","0","0","26"
"112","Nick Williams (FA)","14","17","159","9.4","63","3.7","63","3.7","96","5.6","39","2.3","0","25","4.1%","33","2","3","8","2","0","0","0","29"
"113","Andrew Hawkins (FA)","8","27","276","10.2","149","5.5","149","5.5","127","4.7","13","0.5","0","43","7.2%","52","1","8","12","2","0","0","0","25"
"114","De'Anthony Thomas (FA)","10","17","140","8.2","-9","-0.5","-9","-0.5","149","8.8","20","1.2","0","24","5.2%","29","1","7","5","2","1","0","0","36"
"115","Jeremy Kerley (FA)","16","16","152","9.5","57","3.6","57","3.6","95","5.9","43","2.7","1","26","4.3%","33","3","2","6","2","0","0","0","25"
"116","Greg Jennings (FA)","16","19","208","10.9","115","6.1","115","6.1","93","4.9","10","0.5","0","36","6.2%","41","3","2","9","3","1","0","0","31"
"117","Chris Conley (FA)","16","17","199","11.7","130","7.6","130","7.6","69","4.1","39","2.3","0","31","6.7%","38","2","4","6","2","1","1","0","44"
"118","Brice Butler (FA)","7","12","258","21.5","162","13.5","162","13.5","96","8.0","18","1.5","1","26","5.0%","27","2","4","9","6","2","1","1","67"
"119","Rashad Ross (FA)","13","8","184","23.0","120","15.0","120","15.0","64","8.0","8","1.0","0","13","2.8%","16","1","0","6","3","2","2","1","71"
"120","Stedman Bailey (FA)","8","12","182","15.2","111","9.3","111","9.3","71","5.9","13","1.1","0","25","5.3%","24","2","1","6","3","1","1","1","68"
"121","Taylor Gabriel (FA)","13","28","241","8.6","133","4.8","133","4.8","108","3.9","13","0.5","1","48","8.0%","57","4","5","6","2","1","1","1","56"
"122","Adam Thielen (MIN)","16","12","144","12.0","97","8.1","97","8.1","47","3.9","5","0.4","1","18","4.1%","25","2","0","7","1","1","0","0","30"
"123","Griff Whalen (FA)","14","19","205","10.8","154","8.1","154","8.1","51","2.7","5","0.3","0","26","5.6%","39","1","5","8","1","1","0","0","38"
"124","Rashad Greene (FA)","9","19","93","4.9","39","2.1","39","2.1","54","2.8","8","0.4","1","35","5.8%","39","3","6","2","0","0","0","0","18"
"125","Chris Matthews (FA)","13","13","151","11.6","109","8.4","109","8.4","42","3.2","18","1.4","1","25","5.3%","28","1","3","7","3","0","0","0","21"
"126","Jordan Norwood (FA)","11","22","207","9.4","138","6.3","138","6.3","69","3.1","22","1.0","1","32","5.3%","43","1","6","8","1","1","0","0","34"
"127","Jaron Brown (FA)","16","11","144","13.1","122","11.1","122","11.1","22","2.0","8","0.7","1","23","4.2%","23","1","6","6","3","1","0","0","39"
"128","Bennie Fowler III (FA)","16","16","203","12.7","106","6.6","106","6.6","97","6.1","47","2.9","2","25","4.1%","30","0","3","11","1","1","1","0","41"
"129","Louis Murphy (FA)","6","10","198","19.8","161","16.1","161","16.1","37","3.7","11","1.1","0","18","3.4%","22","0","1","6","4","2","1","1","54"
"130","Andre Caldwell (FA)","14","10","72","7.2","56","5.6","56","5.6","16","1.6","4","0.4","0","22","3.6%","22","1","6","2","1","0","0","0","24"
"131","Justin Hardy (FA)","9","21","194","9.2","129","6.1","129","6.1","65","3.1","27","1.3","0","36","5.8%","46","3","6","7","2","0","0","0","23"
"132","Donteea Dye (FA)","10","11","132","12.0","102","9.3","102","9.3","30","2.7","13","1.2","3","30","5.7%","23","4","5","6","1","1","1","0","44"
"133","Javontee Herndon (FA)","8","24","195","8.1","93","3.9","93","3.9","102","4.3","19","0.8","0","33","6.4%","46","4","3","10","1","0","0","0","21"
"134","T.J. Jones (FA)","10","10","132","13.2","91","9.1","91","9.1","41","4.1","13","1.3","0","18","3.0%","19","1","0","5","3","0","0","0","29"
"135","Kenbrell Thompkins (FA)","7","17","165","9.7","97","5.7","97","5.7","68","4.0","18","1.1","0","33","5.5%","35","1","1","5","2","2","1","0","43"
"136","Devin Smith (FA)","10","9","115","12.8","97","10.8","97","10.8","18","2.0","4","0.4","0","28","4.7%","21","2","3","6","1","0","0","0","22"
"137","Devin Street (FA)","15","7","114","16.3","101","14.4","101","14.4","13","1.9","4","0.6","0","13","2.5%","17","2","1","7","1","0","0","0","25"
"138","Tyrell Williams (FA)","7","2","90","45.0","39","19.5","39","19.5","51","25.5","0","0.0","0","6","0.9%","5","1","0","2","1","1","1","1","80"
"139","Myles White (FA)","12","7","88","12.6","81","11.6","81","11.6","7","1.0","1","0.1","0","20","3.3%","17","2","6","3","2","0","0","0","28"
"140","Marlon Moore (FA)","14","7","81","11.6","49","7.0","49","7.0","32","4.6","11","1.6","1","10","1.7%","16","2","3","6","1","0","0","0","20"
"141","Aaron Dobson (FA)","8","13","141","10.8","112","8.6","112","8.6","29","2.2","7","0.5","0","21","3.4%","27","2","4","7","1","0","0","0","24"
"142","Bruce Ellington (FA)","13","13","153","11.8","43","3.3","43","3.3","110","8.5","29","2.2","0","19","3.6%","22","1","0","4","3","3","1","0","44"
"143","Andre Roberts (CAR)","9","11","135","12.3","97","8.8","97","8.8","38","3.5","19","1.7","0","21","3.8%","24","2","4","5","1","1","0","0","38"
"144","Ty Montgomery (NE)","6","15","136","41.6","0","0.0","0","0.0","0","0.0","0","0.0","0","19","0%","0","0","4","0","0","0","0","0","31"
"145","Keith Mumphery (FA)","16","14","129","9.2","109","7.8","109","7.8","20","1.4","1","0.1","0","32","5.2%","32","2","1","4","1","0","0","0","26"
"146","Ricardo Lockette (FA)","8","4","69","17.3","56","14.0","56","14.0","13","3.3","4","1.0","0","7","1.5%","9","1","2","2","2","1","1","0","40"
"147","Charles Johnson (FA)","11","9","127","14.1","99","11.0","99","11.0","28","3.1","6","0.7","0","13","2.9%","17","0","1","4","3","1","0","0","35"
"148","Cameron Meredith (FA)","11","11","120","10.9","69","6.3","69","6.3","51","4.6","19","1.7","0","16","3.1%","18","0","2","5","2","0","0","0","22"
"149","Cody Latimer (FA)","14","6","59","9.8","27","4.5","27","4.5","32","5.3","13","2.2","0","11","1.8%","13","2","3","4","0","0","0","0","15"
"150","Jason Avant (FA)","16","15","119","7.9","70","4.7","70","4.7","49","3.3","11","0.7","0","24","5.2%","30","0","0","3","1","0","0","0","20"
"151","Darius Jennings (FA)","4","14","117","8.4","80","5.7","80","5.7","37","2.6","7","0.5","1","21","4.2%","29","4","2","5","0","0","0","0","16"
"152","Jerome Simpson (FA)","6","5","54","10.8","38","7.6","38","7.6","16","3.2","3","0.6","0","19","3.6%","14","3","1","3","0","0","0","0","16"
"153","Marlon Brown (FA)","10","14","112","8.0","66","4.7","66","4.7","46","3.3","15","1.1","0","30","4.5%","32","3","1","3","2","0","0","0","22"
"154","Michael Campanaro (FA)","4","5","35","7.0","8","1.6","8","1.6","27","5.4","13","2.6","1","6","0.9%","10","0","2","1","0","0","0","0","11"
"155","Jared Abbrederis (FA)","10","9","111","12.3","96","10.7","96","10.7","15","1.7","0","0.0","0","16","2.4%","19","1","2","5","1","1","0","0","32"
"156","Lucky Whitehead (FA)","15","6","16","2.7","-4","-0.7","-4","-0.7","20","3.3","3","0.5","0","8","1.5%","10","0","1","0","0","0","0","0","8"
"157","Brian Quick (FA)","13","10","102","10.2","63","6.3","63","6.3","39","3.9","11","1.1","0","32","6.8%","25","4","2","5","1","1","0","0","37"
"158","Wes Welker (FA)","8","13","102","7.8","52","4.0","52","4.0","50","3.8","12","0.9","0","22","4.7%","24","1","2","4","0","0","0","0","14"
"159","Brenton Bersin (FA)","9","9","119","13.2","86","9.6","86","9.6","33","3.7","11","1.2","0","11","2.2%","17","0","0","7","1","1","0","0","30"
"160","Russell Shepard (FA)","13","3","28","9.3","27","9.0","27","9.0","1","0.3","1","0.3","0","9","1.7%","7","2","2","1","0","0","0","0","18"
"161","Bradley Marquez (FA)","16","13","88","6.8","65","5.0","65","5.0","23","1.8","8","0.6","0","22","4.7%","27","1","1","3","0","0","0","0","14"
"162","Chris Owusu (FA)","3","6","80","13.3","58","9.7","58","9.7","22","3.7","7","1.2","0","13","2.2%","12","0","1","2","2","1","1","0","43"
"163","Jeff Janis (FA)","16","2","79","39.5","50","25.0","50","25.0","29","14.5","4","2.0","0","12","2.1%","5","1","4","2","2","2","1","0","46"
"164","Tre McBride III (FA)","7","2","8","4.0","7","3.5","7","3.5","1","0.5","0","0.0","0","4","0.7%","5","1","1","0","0","0","0","0","7"
"165","Corey Fuller (FA)","12","4","76","19.0","67","16.8","67","16.8","9","2.3","0","0.0","0","9","1.4%","10","1","0","2","1","1","1","0","48"
"166","Hakeem Nicks (FA)","6","7","54","7.7","32","4.6","32","4.6","22","3.1","5","0.7","0","14","2.3%","15","1","4","2","0","0","0","0","19"
"167","Dwayne Bowe (FA)","7","5","53","10.6","39","7.8","39","7.8","14","2.8","7","1.4","1","13","2.2%","9","0","2","3","0","0","0","0","16"
"168","Kevin Smith (FA)","7","3","43","14.3","13","4.3","13","4.3","30","10.0","4","1.3","0","5","1.1%","6","0","0","2","1","0","0","0","21"
"169","Terrelle Pryor Sr. (FA)","3","1","42","42.0","37","37.0","37","37.0","5","5.0","5","5.0","0","8","1.3%","4","1","3","1","1","1","1","0","42"
"170","Greg Salas (FA)","2","3","41","13.7","27","9.0","27","9.0","14","4.7","0","0.0","0","5","1.1%","7","0","0","2","1","0","0","0","20"
"171","Preston Parker (FA)","2","5","40","8.0","11","2.2","11","2.2","29","5.8","5","1.0","0","12","2.0%","14","4","3","1","0","0","0","0","15"
"172","Jeremy Ross (FA)","11","9","88","9.8","16","1.8","16","1.8","72","8.0","25","2.8","0","14","2.3%","17","1","6","3","0","0","0","0","18"
"173","Trevor Graham (FA)","4","4","24","6.0","-17","-4.3","-17","-4.3","41","10.3","8","2.0","0","4","0.6%","5","0","0","1","0","0","0","0","18"
"174","Chandler Worthy (FA)","3","3","14","4.7","-7","-2.3","-7","-2.3","21","7.0","5","1.7","0","4","0.7%","3","0","0","1","0","0","0","0","12"
"175","Jonathan Krause (FA)","2","2","11","5.5","5","2.5","5","2.5","6","3.0","3","1.5","0","4","0.6%","3","0","0","0","0","0","0","0","7"
