"Rank","Player","Team","Position","Points","Games","Avg"
"1","Todd Gurley II","LAR","RB","383.3","15","25.6"
"2","Russell Wilson","SEA","QB","347.8","16","21.7"
"3","Le'Veon Bell","PIT","RB","341.6","15","22.8"
"4","Alvin Kamara","NO","RB","314.4","16","19.7"
"5","Antonio Brown","PIT","WR","310.3","14","22.2"
"6","DeAndre Hopkins","HOU","WR","309.8","15","20.7"
"7","Cam Newton","CAR","QB","299.5","16","18.7"
"8","Tom Brady","NE","QB","295.9","16","18.5"
"9","Kareem Hunt","KC","RB","295.2","16","18.5"
"10","Alex Smith","KC","QB","295.1","15","19.7"
"11","Melvin Gordon III","LAC","RB","288.1","16","18.0"
"12","Carson Wentz","PHI","QB","281.7","13","21.7"
"13","Keenan Allen","LAC","WR","278.2","16","17.4"
"14","Mark Ingram II","NO","RB","278.0","16","17.4"
"15","Kirk Cousins","WAS","QB","277.6","16","17.4"
"16","Matthew Stafford","DET","QB","273.8","16","17.1"
"17","Philip Rivers","LAC","QB","270.5","16","16.9"
"18","LeSean McCoy","BUF","RB","263.6","16","16.5"
"19","Drew Brees","NO","QB","262.4","16","16.4"
"20","Larry Fitzgerald","ARI","WR","261.4","16","16.3"
"21","Dak Prescott","DAL","QB","260.7","16","16.3"
"22","Ben Roethlisberger","PIT","QB","260.6","15","17.4"
"23","Jarvis Landry","MIA","WR","260.0","16","16.3"
"24","Michael Thomas","NO","WR","258.5","16","16.2"
"25","Jared Goff","LAR","QB","255.3","15","17.0"
"26","Julio Jones","ATL","WR","251.9","16","15.7"
"27","Blake Bortles","JAC","QB","249.7","16","15.6"
"28","Adam Thielen","MIN","WR","239.7","16","15.0"
"29","Tyreek Hill","KC","WR","239.2","15","16.0"
"30","Case Keenum","MIN","QB","238.1","15","15.9"
"31","Carlos Hyde","SF","RB","233.8","16","14.6"
"32","Travis Kelce","KC","TE","233.5","15","15.6"
"33","Leonard Fournette","JAC","RB","230.2","13","17.7"
"34","Christian McCaffrey","CAR","RB","228.6","16","14.3"
"35","Matt Ryan","ATL","QB","228.1","16","14.3"
"36","Rob Gronkowski","NE","TE","227.4","14","16.2"
"37","A.J. Green","CIN","WR","226.8","16","14.2"
"38","Marvin Jones Jr.","DET","WR","225.1","16","14.1"
"39","Golden Tate","DET","WR","224.5","16","14.0"
"40","Doug Baldwin","SEA","WR","223.3","16","14.0"
"41","Tyrod Taylor","BUF","QB","222.6","15","14.8"
"42","Davante Adams","GB","WR","222.5","14","15.9"
"43","Brandin Cooks","NE","WR","221.2","16","13.8"
"44","Duke Johnson Jr.","CLE","RB","216.1","16","13.5"
"45","Andy Dalton","CIN","QB","210.7","16","13.2"
"46","Marcus Mariota","TEN","QB","210.4","15","14.0"
"47","Derek Carr","LV","QB","206.3","15","13.8"
"48","Jacoby Brissett","IND","QB","206.0","16","12.9"
"49","Demaryius Thomas","DEN","WR","205.9","16","12.9"
"50","Josh McCown","NYJ","QB","205.6","13","15.8"
"51","Ezekiel Elliott","DAL","RB","203.2","10","20.3"
"52","Mike Evans","TB","WR","203.1","15","13.5"
"53","Zach Ertz","PHI","TE","202.4","14","14.5"
"54","Jameis Winston","TB","QB","201.8","13","15.5"
"55","Devonta Freeman","ATL","RB","200.2","14","14.3"
"56","Robbie Anderson","NYJ","WR","200.0","16","12.5"
"57","Jordan Howard","CHI","RB","199.7","16","12.5"
"58","Jacksonville Jaguars","JAC","DST","199.0","16","12.4"
"59","Stefon Diggs","MIN","WR","198.2","14","14.2"
"60","Dion Lewis","NE","RB","197.0","16","12.3"
"61","Alshon Jeffery","PHI","WR","195.9","16","12.2"
"62","Devin Funchess","CAR","WR","195.0","16","12.2"
"63","Lamar Miller","HOU","RB","193.5","16","12.1"
"64","JuJu Smith-Schuster","PIT","WR","191.7","14","13.7"
"65","Nelson Agholor","PHI","WR","187.5","16","11.7"
"66","Eli Manning","NYG","QB","187.3","15","12.5"
"67","Dez Bryant","DAL","WR","186.4","16","11.7"
"68","Joe Flacco","BAL","QB","184.9","16","11.6"
"69","Greg Zuerlein","LAR","K","182.0","14","13.0"
"70","Jerick McKinnon","MIN","RB","178.1","16","11.1"
"71","Cooper Kupp","LAR","WR","176.9","15","11.8"
"72","Jermaine Kearse","NYJ","WR","176.0","16","11.0"
"73","DeShone Kizer","CLE","QB","175.9","15","11.7"
"74","T.Y. Hilton","IND","WR","175.6","16","11.0"
"75","C.J. Anderson","DEN","RB","175.1","16","10.9"
"76","Kenny Stills","MIA","WR","174.7","16","10.9"
"77","Delanie Walker","TEN","TE","174.5","16","10.9"
"78","Mohamed Sanu Sr.","ATL","WR","174.3","15","11.6"
"79","Baltimore Ravens","BAL","DST","174.0","16","10.9"
"80","Evan Engram","NYG","TE","173.6","15","11.6"
"80","Frank Gore","IND","RB","173.6","16","10.9"
"82","Stephen Gostkowski","NE","K","172.0","16","10.8"
"83","Michael Crabtree","LV","WR","171.8","14","12.3"
"84","DeMarco Murray","TEN","RB","171.5","15","11.4"
"85","Jimmy Graham","SEA","TE","171.0","16","10.7"
"86","Alex Collins","BAL","RB","171.0","15","11.4"
"87","Robbie Gould","SF","K","170.0","16","10.6"
"88","Jack Doyle","IND","TE","169.0","15","11.3"
"89","Deshaun Watson","HOU","QB","168.8","7","24.1"
"90","Marquise Goodwin","SF","WR","168.6","16","10.5"
"91","Tevin Coleman","ATL","RB","167.7","15","11.2"
"92","Javorius Allen","BAL","RB","166.1","16","10.4"
"93","Philadelphia Eagles","PHI","DST","166.0","16","10.4"
"94","Marshawn Lynch","LV","RB","164.2","15","11.0"
"95","Robert Woods","LAR","WR","163.3","12","13.6"
"96","Matt Bryant","ATL","K","162.0","16","10.1"
"96","Justin Tucker","BAL","K","162.0","16","10.1"
"98","Wil Lutz","NO","K","161.4","16","10.1"
"99","Los Angeles Rams","LAR","DST","161.0","16","10.1"
"100","Jamison Crowder","WAS","WR","160.3","15","10.7"
"101","Harrison Butker","Multi","K","160.0","13","12.3"
"102","Ted Ginn Jr.","NO","WR","159.6","15","10.6"
"103","Randall Cobb","GB","WR","159.4","15","10.6"
"104","Chris Boswell","PIT","K","159.0","16","9.9"
"105","Amari Cooper","LV","WR","158.4","14","11.3"
"106","Kyle Rudolph","MIN","TE","158.2","16","9.9"
"107","Jay Cutler","MIA","QB","157.7","14","11.3"
"108","Latavius Murray","MIN","RB","157.5","16","9.8"
"109","Rishard Matthews","TEN","WR","156.2","14","11.2"
"110","Ryan Succop","TEN","K","156.0","16","9.8"
"111","Theo Riddick","DET","RB","154.0","16","9.6"
"112","Giovani Bernard","CIN","RB","151.7","16","9.5"
"113","Chris Thompson","WAS","RB","151.4","10","15.1"
"114","Mike Wallace","BAL","WR","151.2","15","10.1"
"115","Matt Prater","DET","K","151.0","16","9.4"
"115","Los Angeles Chargers","LAC","DST","151.0","16","9.4"
"117","Paul Richardson Jr.","SEA","WR","150.3","16","9.4"
"118","Kai Forbath","MIN","K","148.0","16","9.3"
"119","Marqise Lee","JAC","WR","147.9","14","10.6"
"120","Jason Witten","DAL","TE","147.0","16","9.2"
"121","Sammy Watkins","LAR","WR","146.3","15","9.8"
"122","Bilal Powell","NYJ","RB","145.2","15","9.7"
"123","Sterling Shepard","NYG","WR","144.5","11","13.1"
"124","Tarik Cohen","CHI","RB","144.1","16","9.0"
"125","Detroit Lions","DET","DST","144.0","16","9.0"
"126","Isaiah Crowell","CLE","RB","143.5","16","9.0"
"127","Cameron Brate","TB","TE","143.1","16","8.9"
"128","New Orleans Saints","NO","DST","143.0","16","8.9"
"129","Jamaal Williams","GB","RB","142.8","16","8.9"
"130","Kenyan Drake","MIA","RB","142.3","16","8.9"
"131","Joe Mixon","CIN","RB","141.3","14","10.1"
"132","Jake Elliott","Multi","K","139.0","15","9.3"
"133","Danny Amendola","NE","WR","138.9","15","9.3"
"134","DeSean Jackson","TB","WR","138.6","14","9.9"
"135","Tyrell Williams","LAC","WR","137.8","16","8.6"
"136","Orleans Darkwa","NYG","RB","137.7","15","9.2"
"137","Benjamin Watson","BAL","TE","137.2","16","8.6"
"137","Jordy Nelson","GB","WR","137.2","15","9.2"
"139","Phil Dawson","ARI","K","137.0","16","8.6"
"139","Stephen Hauschka","BUF","K","137.0","16","8.6"
"141","Kelvin Benjamin","Multi","WR","135.2","14","9.7"
