"Rank","Player","Team","Position","Points","Games","Avg"
"280","Jarius Wright","MIN","WR","66.1","7","9.4"
"281","Coby Fleener","IND","TE","66.1","12","5.5"
"282","Joe Morgan","NO","WR","66.0","14","4.7"
"283","Riley Cooper","PHI","WR","65.8","11","6.0"
"284","Anthony McCoy","SEA","TE","65.1","16","4.1"
"285","Julian Edelman","NE","WR","65.0","9","7.2"
"285","Ryan Broyles","DET","WR","65.0","10","6.5"
"287","Louis Murphy","CAR","WR","64.9","16","4.1"
"288","Travis Benjamin","CLE","WR","64.4","14","4.6"
"289","Stephen Hill","NYJ","WR","64.2","11","5.8"
"290","Mohamed Sanu Sr.","CIN","WR","63.8","9","7.1"
"291","Mike Goodson","LV","RB","63.6","12","5.3"
"292","Damian Williams","TEN","WR","62.4","13","4.8"
"293","Kendall Hunter","SF","RB","62.1","11","5.7"
"294","Logan Paulsen","WAS","TE","61.8","16","3.9"
"295","Jason Snelling","ATL","RB","61.6","16","3.9"
"296","Las Vegas Raiders","LV","DST","61.0","16","3.8"
"297","Devery Henderson","NO","WR","60.9","15","4.1"
"298","Jon Baldwin","KC","WR","58.5","15","3.9"
"299","Brad Smith","BUF","WR","56.8","15","3.8"
"300","Fred Davis","WAS","TE","56.6","7","8.1"
"301","Craig Stevens","TEN","TE","56.5","15","3.8"
"302","Armon Binns","Multi","WR","55.7","11","5.1"
"303","Kansas City Chiefs","KC","DST","55.0","16","3.4"
"304","Beanie Wells","ARI","RB","54.8","8","6.9"
"305","Eddie Royal","LAC","WR","54.6","10","5.5"
"306","Cedric Benson","GB","RB","54.5","5","10.9"
"307","Toby Gerhart","MIN","RB","54.4","16","3.4"
"308","Aldrick Robinson","WAS","WR","54.1","15","3.6"
"309","Philadelphia Eagles","PHI","DST","54.0","16","3.4"
"310","William Powell","ARI","RB","53.9","13","4.2"
"311","Ben Tate","HOU","RB","53.8","11","4.9"
"312","Devin Hester","CHI","WR","53.8","15","3.6"
"313","Clay Harbor","PHI","TE","53.6","14","3.8"
"314","Ronnie Hillman","DEN","RB","53.2","14","3.8"
"315","Kellen Davis","CHI","TE","51.9","16","3.2"
"316","Jerome Simpson","MIN","WR","51.4","12","4.3"
"317","Jordan Shipley","Multi","WR","51.4","7","7.3"
"318","Santonio Holmes","NYJ","WR","51.2","4","12.8"
"318","Charles Clay","MIA","TE","51.2","14","3.7"
"320","Graham Gano","CAR","K","51.0","6","8.5"
"321","Justin Forsett","HOU","RB","50.2","16","3.1"
"322","Early Doucet","ARI","WR","49.6","12","4.1"
"323","Cedric Peerman","CIN","RB","49.3","14","3.5"
"324","Peyton Hillis","KC","RB","49.1","13","3.8"
"325","Micheal Spurlock","Multi","WR","49.0","14","3.5"
"326","Marvin Jones Jr.","CIN","WR","48.8","11","4.4"
