"Rank","Player","Team","Position","Points","Games","Avg"
"62","LeSean McCoy","PHI","RB","199.4","16","12.5"
"63","Joique Bell","DET","RB","198.2","15","13.2"
"64","Sammy Watkins","BUF","WR","198.0","16","12.4"
"65","Matt Asiata","MIN","RB","194.2","15","13.0"
"66","Derek Carr","LV","QB","192.1","16","12.0"
"67","Mark Ingram II","NO","RB","191.9","13","14.8"
"68","Torrey Smith","BAL","WR","191.7","16","12.0"
"69","Andre Johnson","HOU","WR","190.6","15","12.7"
"70","Fred Jackson","BUF","RB","188.6","14","13.5"
"71","Giovani Bernard","CIN","RB","187.9","13","14.5"
"71","Alfred Morris","WAS","RB","187.9","16","11.7"
"73","Rueben Randle","NYG","WR","182.8","16","11.4"
"74","Jarvis Landry","MIA","WR","181.4","16","11.3"
"75","Eddie Royal","LAC","WR","181.2","16","11.3"
"76","Vincent Jackson","TB","WR","180.2","16","11.3"
"77","Ryan Fitzpatrick","HOU","QB","179.8","12","15.0"
"78","Teddy Bridgewater","MIN","QB","179.7","13","13.8"
"79","Mohamed Sanu Sr.","CIN","WR","179.2","16","11.2"
"80","Brandon Marshall","CHI","WR","179.1","13","13.8"
"81","Andre Ellington","ARI","RB","177.5","12","14.8"
"82","Travis Kelce","KC","TE","177.2","16","11.1"
"83","Marques Colston","NO","WR","177.2","16","11.1"
"84","Coby Fleener","IND","TE","176.4","16","11.0"
"85","Kyle Orton","BUF","QB","176.1","12","14.7"
"86","Delanie Walker","TEN","TE","176.0","15","11.7"
"87","Keenan Allen","LAC","WR","175.3","14","12.5"
"88","Kenny Stills","NO","WR","173.9","15","11.6"
"89","Malcom Floyd","LAC","WR","173.6","16","10.9"
"90","James Jones","LV","WR","173.6","16","10.9"
"91","Houston Texans","HOU","DST","171.0","16","10.7"
"92","Stephen Gostkowski","NE","K","170.0","16","10.6"
"93","Greg Jennings","MIN","WR","169.2","16","10.6"
"94","Blake Bortles","JAC","QB","168.2","14","12.0"
"95","Kendall Wright","TEN","WR","167.9","14","12.0"
"96","Doug Baldwin","SEA","WR","167.3","16","10.5"
"97","Shane Vereen","NE","RB","165.8","16","10.4"
"98","Michael Floyd","ARI","WR","165.3","16","10.3"
"99","Robert Woods","BUF","WR","164.9","16","10.3"
"100","Jason Witten","DAL","TE","164.3","16","10.3"
"101","Julius Thomas","DEN","TE","163.9","13","12.6"
"102","Michael Crabtree","SF","WR","162.2","16","10.1"
"103","Cody Parkey","PHI","K","162.0","16","10.1"
"104","Pierre Garcon","WAS","WR","161.2","16","10.1"
"105","Heath Miller","PIT","TE","160.1","16","10.0"
"106","Philadelphia Eagles","PHI","DST","159.0","16","9.9"
"107","Andrew Hawkins","CLE","WR","158.9","15","10.6"
"108","Frank Gore","SF","RB","158.7","16","9.9"
"109","Buffalo Bills","BUF","DST","158.0","16","9.9"
"110","Brian Hoyer","CLE","QB","157.0","14","11.2"
"111","Allen Hurns","JAC","WR","154.7","16","9.7"
"112","Ahmad Bradshaw","IND","RB","154.5","10","15.5"
"113","Larry Donnell","NYG","TE","153.3","16","9.6"
"114","Adam Vinatieri","IND","K","153.0","16","9.6"
"115","Chris Ivory","NYJ","RB","152.4","16","9.5"
"116","Dan Carpenter","BUF","K","152.0","16","9.5"
"117","Reggie Wayne","IND","WR","151.9","15","10.1"
"118","Larry Fitzgerald","ARI","WR","151.4","14","10.8"
"119","Geno Smith","NYJ","QB","150.8","14","10.8"
"120","Matt Bryant","ATL","K","149.0","16","9.3"
"120","Dan Bailey","DAL","K","149.0","16","9.3"
"122","Terrance Williams","DAL","WR","147.1","16","9.2"
"123","John Brown","ARI","WR","147.0","16","9.2"
"123","Mason Crosby","GB","K","147.0","16","9.2"
"123","Stephen Hauschka","SEA","K","147.0","16","9.2"
"126","Jonathan Stewart","CAR","RB","146.0","13","11.2"
"127","Darren Sproles","PHI","RB","145.6","15","9.7"
"128","Branden Oliver","LAC","RB","145.3","14","10.4"
"129","Andre Williams","NYG","RB","145.1","16","9.1"
"130","Randy Bullock","HOU","K","145.0","16","9.1"
"131","Zach Ertz","PHI","TE","144.2","16","9.0"
"132","Seattle Seahawks","SEA","DST","144.0","16","9.0"
"132","Shaun Suisham","PIT","K","144.0","16","9.0"
"134","Kenny Britt","LAR","WR","142.2","16","8.9"
"135","Steven Jackson","ATL","RB","141.5","15","9.4"
"136","Justin Tucker","BAL","K","141.0","16","8.8"
"137","Andre Holmes","LV","WR","140.3","16","8.8"
"138","Caleb Sturgis","MIA","K","140.0","16","8.8"
"139","Mark Sanchez","PHI","QB","139.5","9","15.5"
"140","Brandin Cooks","NO","WR","139.3","10","13.9"
"141","Los Angeles Rams","LAR","DST","139.0","16","8.7"
"142","Rashad Jennings","NYG","RB","138.5","11","12.6"
"143","New England Patriots","NE","DST","138.0","16","8.6"
"143","Baltimore Ravens","BAL","DST","138.0","16","8.6"
"143","Jermaine Gresham","CIN","TE","138.0","15","9.2"
"146","Charles Clay","MIA","TE","136.5","14","9.8"
"147","Dwayne Bowe","KC","WR","135.4","15","9.0"
"148","Tre Mason","LAR","RB","135.3","12","11.3"
"149","Arizona Cardinals","ARI","DST","134.0","16","8.4"
"149","Nick Folk","NYJ","K","134.0","16","8.4"
"151","Jared Cook","LAR","TE","133.4","16","8.3"
"152","Mychal Rivera","LV","TE","133.4","16","8.3"
"153","Graham Gano","CAR","K","132.0","16","8.3"
"154","Markus Wheaton","PIT","WR","131.3","16","8.2"
"155","Martavis Bryant","PIT","WR","130.1","10","13.0"
"156","Indianapolis Colts","IND","DST","130.0","16","8.1"
"156","Detroit Lions","DET","DST","130.0","16","8.1"
"156","Green Bay Packers","GB","DST","130.0","16","8.1"
"159","Percy Harvin","Multi","WR","129.5","13","10.0"
"160","San Francisco 49ers","SF","DST","129.0","16","8.1"
"161","Riley Cooper","PHI","WR","128.7","16","8.0"
"162","Josh Brown","NYG","K","128.0","16","8.0"
"162","Cleveland Browns","CLE","DST","128.0","16","8.0"
"162","Chandler Catanzaro","ARI","K","128.0","16","8.0"
"165","Roy Helu","WAS","RB","127.3","14","9.1"
"166","Mike Nugent","CIN","K","127.0","16","7.9"
"167","Josh McCown","TB","QB","126.9","11","11.5"
"168","Minnesota Vikings","MIN","DST","126.0","16","7.9"
"169","Miami Dolphins","MIA","DST","125.0","16","7.8"
"169","Phil Dawson","SF","K","125.0","16","7.8"
"171","Benny Cunningham Jr.","LAR","RB","124.8","16","7.8"
"172","Owen Daniels","BAL","TE","124.7","15","8.3"
"173","Blair Walsh","MIN","K","124.0","16","7.8"
"174","Pierre Thomas","NO","RB","123.0","11","11.2"
"175","Isaiah Crowell","CLE","RB","122.4","16","7.7"
"176","Cairo Santos","KC","K","122.0","16","7.6"
"177","Darren McFadden","LV","RB","120.6","16","7.5"
"178","Harry Douglas","ATL","WR","120.6","12","10.1"
"179","Jarius Wright","MIN","WR","119.9","16","7.5"
"180","Nick Foles","PHI","QB","119.3","8","14.9"
"181","Dallas Cowboys","DAL","DST","119.0","16","7.4"
"181","Denver Broncos","DEN","DST","119.0","16","7.4"
"183","Greg Zuerlein","LAR","K","118.0","16","7.4"
"184","Cecil Shorts","JAC","WR","118.0","13","9.1"
"185","Trent Richardson","IND","RB","117.8","15","7.9"
"186","Allen Robinson II","JAC","WR","116.8","10","11.7"
"187","Nate Washington","TEN","WR","116.7","16","7.3"
"188","Dwayne Allen","IND","TE","116.5","13","9.0"
"189","Nick Novak","LAC","K","116.0","16","7.3"
"190","Miles Austin","CLE","WR","115.8","12","9.7"
"191","Chris Johnson","NYJ","RB","115.4","16","7.2"
"192","Knile Davis","KC","RB","115.0","16","7.2"
"193","Scott Chandler","BUF","TE","114.7","16","7.2"
"194","Jerricho Cotchery","CAR","WR","114.0","15","7.6"
"195","Denard Robinson","JAC","RB","113.6","13","8.7"
"196","Pittsburgh Steelers","PIT","DST","113.0","16","7.1"
"196","Carolina Panthers","CAR","DST","113.0","16","7.1"
"198","Terrance West","CLE","RB","112.7","14","8.1"
"199","Bobby Rainey","TB","RB","111.1","15","7.4"
"200","Jacksonville Jaguars","JAC","DST","111.0","16","6.9"
"201","Kai Forbath","WAS","K","110.0","16","6.9"
"202","New York Giants","NYG","DST","108.0","16","6.8"
"202","Shayne Graham","NO","K","108.0","16","6.8"
"202","Devin Hester","ATL","WR","108.0","16","6.8"
"205","Austin Davis","LAR","QB","107.6","10","10.8"
"206","Wes Welker","DEN","WR","107.4","14","7.7"
"207","Patrick Murray","TB","K","107.0","16","6.7"
"207","Reggie Bush","DET","RB","107.0","11","9.7"
"209","Taylor Gabriel","CLE","WR","105.1","16","6.6"
"210","Tampa Bay Buccaneers","TB","DST","105.0","16","6.6"
"211","Cincinnati Bengals","CIN","DST","104.0","16","6.5"
"212","Carson Palmer","ARI","QB","103.6","6","17.3"
"213","Chris Hogan","BUF","WR","103.6","16","6.5"
"214","Kansas City Chiefs","KC","DST","103.0","16","6.4"
"215","Hakeem Nicks","IND","WR","102.5","16","6.4"
"216","Ronnie Hillman","DEN","RB","102.3","8","12.8"
"217","Billy Cundiff","CLE","K","101.0","13","7.8"
"218","Davante Adams","GB","WR","100.6","16","6.3"
"219","Sebastian Janikowski","LV","K","100.0","16","6.3"
"220","Jermaine Kearse","SEA","WR","99.9","15","6.7"
"221","Cole Beasley","DAL","WR","99.0","16","6.2"
"222","Brian Hartline","MIA","WR","98.4","16","6.2"
"223","LeGarrette Blount","Multi","RB","98.1","16","6.1"
"224","Los Angeles Chargers","LAC","DST","98.0","16","6.1"
"225","Alfred Blue","HOU","RB","97.1","16","6.1"
"226","Steve Johnson","SF","WR","96.5","13","7.4"
"227","Bishop Sankey","TEN","RB","96.2","16","6.0"
"228","Donte Moncrief","IND","WR","96.1","16","6.0"
"229","Josh Scobee","JAC","K","96.0","16","6.0"
"229","Matt Prater","DET","K","96.0","11","8.7"
"229","Chicago Bears","CHI","DST","96.0","16","6.0"
"232","Justin Hunter","TEN","WR","95.8","12","8.0"
"233","Drew Stanton","ARI","QB","94.9","9","10.5"
"234","Theo Riddick","DET","RB","94.7","14","6.8"
"235","Jordan Reed","WAS","TE","94.5","11","8.6"
"236","Jerick McKinnon","MIN","RB","94.3","11","8.6"
"237","Niles Paul","WAS","TE","93.7","16","5.9"
"238","Jeremy Kerley","NYJ","WR","93.5","16","5.8"
"239","Cordarrelle Patterson","MIN","RB","93.1","16","5.8"
"240","Atlanta Falcons","ATL","DST","93.0","16","5.8"
"240","Ryan Succop","TEN","K","93.0","16","5.8"
"242","Charles Johnson","MIN","WR","91.4","12","7.6"
"242","Andre Roberts","WAS","WR","91.4","16","5.7"
"244","Shaun Hill","LAR","QB","90.2","9","10.0"
"245","Tavon Austin","LAR","WR","89.6","15","6.0"
"246","Mike Glennon","TB","QB","89.6","6","14.9"
"247","Kirk Cousins","WAS","QB","88.5","6","14.8"
"248","Preston Parker","NYG","WR","87.8","16","5.5"
"249","Tim Wright","NE","TE","87.7","16","5.5"
"250","Devonta Freeman","ATL","RB","87.3","16","5.5"
"251","Robert Griffin III","WAS","QB","87.2","9","9.7"
"252","Charlie Whitehurst","TEN","QB","87.1","7","12.4"
"253","Marqise Lee","JAC","WR","86.1","13","6.6"
"254","Latavius Murray","LV","RB","85.7","15","5.7"
"255","Jace Amaro","NYJ","TE","84.5","14","6.0"
"256","Lance Kendricks","LAR","TE","82.9","16","5.2"
"257","Toby Gerhart","JAC","RB","81.2","14","5.8"
"258","Louis Murphy","TB","WR","81.0","11","7.4"
"259","Stedman Bailey","LAR","WR","80.8","14","5.8"
"259","Doug Martin","TB","RB","80.8","11","7.4"
"261","Brian Quick","LAR","WR","80.5","7","11.5"
"262","Jacquizz Rodgers","ATL","RB","80.0","16","5.0"
"263","Andrew Quarless","GB","TE","79.3","16","5.0"
"264","Jordan Cameron","CLE","TE","78.4","10","7.8"
"265","Tennessee Titans","TEN","DST","78.0","16","4.9"
"266","Antone Smith","ATL","RB","77.6","10","7.8"
"267","James Starks","GB","RB","77.3","16","4.8"
"268","New York Jets","NYJ","DST","77.0","16","4.8"
"269","Luke Willson","SEA","TE","76.2","15","5.1"
"270","Ben Tate","Multi","RB","76.1","11","6.9"
"271","Marcel Reece","LV","RB","76.0","15","5.1"
"272","John Carlson","ARI","TE","76.0","16","4.8"
"273","Robert Turbin","SEA","RB","75.6","16","4.7"
"274","Jordan Todman","JAC","RB","75.4","16","4.7"
"274","Jason Avant","Multi","WR","75.4","16","4.7"
"276","Dan Herron","IND","RB","75.4","16","4.7"
"277","Carlos Hyde","SF","RB","74.1","14","5.3"
"278","Jonas Gray","NE","RB","72.9","8","9.1"
"279","Travaris Cadet","NO","RB","72.8","15","4.9"
"280","Donald Brown","LAC","RB","72.4","13","5.6"
"281","Damaris Johnson","HOU","WR","72.0","16","4.5"
"282","Anthony Fasano","KC","TE","71.6","15","4.8"
"283","Zach Mettenberger","TEN","QB","71.0","7","10.1"
"284","Lorenzo Taliaferro","BAL","RB","70.6","13","5.4"
"285","Corey Brown","CAR","WR","70.1","13","5.4"
"286","Brandon McManus","DEN","K","70.0","15","4.7"
"286","Brent Celek","PHI","TE","70.0","16","4.4"
"288","New Orleans Saints","NO","DST","69.0","16","4.3"
"289","Kamar Aiken","BAL","WR","68.7","16","4.3"
"290","Travis Benjamin","CLE","WR","68.5","16","4.3"
"291","Anthony Dixon","BUF","RB","68.1","16","4.3"
"292","Washington Commanders","WAS","DST","68.0","16","4.3"
"293","Ryan Mathews","LAC","RB","66.9","6","11.2"
"294","Jeff Cumberland","NYJ","TE","65.7","16","4.1"
"294","Stepfan Taylor","ARI","RB","65.7","14","4.7"
"296","C.J. Spiller","BUF","RB","65.5","9","7.3"
"297","Connor Barth","DEN","K","65.0","5","13.0"
"298","Levine Toilolo","ATL","TE","64.8","16","4.1"
"299","Brandon Gibson","MIA","WR","64.5","14","4.6"
"299","Zac Stacy","LAR","RB","64.5","13","5.0"
"299","Khiry Robinson","NO","RB","64.5","10","6.5"
"302","Dion Sims","MIA","TE","64.4","14","4.6"
"303","Jake Locker","TEN","QB","63.9","7","9.1"
"304","Colt McCoy","WAS","QB","63.0","5","12.6"
"305","Vernon Davis","SF","TE","62.9","14","4.5"
"306","Dexter McCluster","TEN","RB","62.8","14","4.5"
"307","Victor Cruz","NYG","WR","62.7","6","10.5"
"308","Paul Richardson Jr.","SEA","WR","62.1","15","4.1"
"309","Josh Hill","NO","TE","61.6","16","3.9"
"310","Brice Butler","LV","WR","61.0","15","4.1"
"311","Clay Harbor","JAC","TE","60.9","13","4.7"
"312","Charles Sims","TB","RB","60.5","8","7.6"
"313","Kyle Rudolph","MIN","TE","59.1","9","6.6"
"314","Las Vegas Raiders","LV","DST","59.0","16","3.7"
"315","E.J. Manuel","BUF","QB","58.7","5","11.7"
"316","Robbie Gould","CHI","K","58.0","12","4.8"
"317","Damien Williams","MIA","RB","57.9","16","3.6"
"318","Jeremy Ross","DET","WR","57.3","16","3.6"
"319","Jaron Brown","ARI","WR","56.9","16","3.6"
"320","Daniel Fells","NYG","TE","56.8","16","3.6"
"321","De'Anthony Thomas","KC","WR","55.9","12","4.7"
"322","Eric Ebron","DET","TE","55.8","13","4.3"
"323","Chase Ford","MIN","TE","54.8","11","5.0"
"324","Joseph Randle","DAL","RB","54.6","16","3.4"
"325","Richard Rodgers","GB","TE","54.5","16","3.4"
"326","Josh Gordon","CLE","WR","54.3","5","10.9"
"327","Daniel Thomas","MIA","RB","53.9","12","4.5"
"328","Leon Washington","TEN","RB","53.6","16","3.4"
"329","Austin Seferian-Jenkins","TB","TE","53.1","9","5.9"
"330","Danny Amendola","NE","WR","53.0","16","3.3"
"331","Stevan Ridley","NE","RB","52.0","6","8.7"
"332","Juwan Thompson","DEN","RB","51.7","15","3.5"
"333","Shonn Greene","TEN","RB","51.5","13","4.0"
"334","Darrel Young","WAS","RB","51.3","16","3.2"
"335","Marcedes Lewis","JAC","TE","50.6","8","6.3"
"336","Derek Hagan","TEN","WR","50.4","16","3.2"
"336","Derek Anderson","CAR","QB","50.4","6","8.4"
"338","Bernard Pierce","BAL","RB","49.9","13","3.8"
"339","Lance Dunbar","DAL","RB","49.6","16","3.1"
"340","Marlon Brown","BAL","WR","49.5","14","3.5"
"341","Brandon Lloyd","SF","WR","49.4","14","3.5"
"342","Bruce Miller","SF","TE","47.8","16","3.0"
"343","Lance Moore","PIT","WR","47.8","14","3.4"
"343","Rhett Ellison","MIN","TE","47.8","16","3.0"
"345","Kenbrell Thompkins","Multi","WR","47.7","14","3.4"
"346","Jim Dray","CLE","TE","47.2","16","3.0"
"347","Benjamin Watson","NO","TE","45.6","16","2.9"
"348","Chris Polk","PHI","RB","44.8","14","3.2"
"349","Bryce Brown","BUF","RB","44.2","7","6.3"
"350","Garrett Graham","HOU","TE","43.7","11","4.0"
"351","Gavin Escobar","DAL","TE","43.5","16","2.7"
"352","Michael Vick","NYJ","QB","43.4","10","4.3"
"353","Nick Toon","NO","WR","42.9","8","5.4"
"354","Ricardo Lockette","SEA","WR","42.7","16","2.7"
"355","Cooper Helfet","SEA","TE","42.5","10","4.3"
"356","Brandon Tate","CIN","WR","42.4","16","2.7"
"357","Albert Wilson","KC","WR","42.0","12","3.5"
"358","Jack Doyle","IND","TE","41.8","16","2.6"
"359","Ladarius Green","LAC","TE","41.6","14","3.0"
"360","Brandon Myers","TB","TE","41.0","14","2.9"
"361","Bilal Powell","NYJ","RB","40.3","15","2.7"
"362","Kyle Juszczyk","BAL","RB","39.2","16","2.5"
"362","Corey Fuller","DET","WR","39.2","16","2.5"
"364","Rishard Matthews","MIA","WR","37.8","14","2.7"
"365","Fozzy Whittaker","CAR","RB","37.5","10","3.8"
"366","Marquess Wilson","CHI","WR","37.0","7","5.3"
"367","Montee Ball","DEN","RB","36.4","5","7.3"
"368","Jacob Tamme","DEN","TE","34.9","15","2.3"
"369","Brenton Bersin","CAR","WR","34.1","15","2.3"
"370","Ted Ginn Jr.","ARI","WR","34.0","16","2.1"
"371","Chris Givens","LAR","WR","33.3","14","2.4"
"372","Bruce Ellington","SF","WR","33.0","13","2.5"
"373","Greg Salas","NYJ","WR","32.7","10","3.3"
"374","Silas Redd","WAS","RB","32.2","15","2.2"
"375","Eric Weems","ATL","WR","32.2","16","2.0"
"376","Donnie Avery","KC","WR","30.6","6","5.1"
"377","Peyton Hillis","NYG","RB","30.2","9","3.4"
"378","Chad Henne","JAC","QB","30.1","3","10.0"
"379","Jonathan Grimes","HOU","RB","29.9","16","1.9"
"380","Austin Pettis","LAR","WR","29.8","5","6.0"
"381","DeAngelo Williams","CAR","RB","29.3","6","4.9"
"382","Mike Tolbert","CAR","RB","29.1","8","3.6"
"383","Gary Barnidge","CLE","TE","28.6","13","2.2"
"384","Dennis Pitta","BAL","TE","28.5","3","9.5"
"385","Mike Williams","BUF","WR","28.2","9","3.1"
"386","Chris Owusu","Multi","WR","28.1","8","3.5"
"387","Crockett Gillmore","BAL","TE","28.1","15","1.9"
"388","Dontrelle Inman","LAC","WR","27.8","7","4.0"
"389","Maurice Jones-Drew","LV","RB","27.7","12","2.3"
"390","Adam Thielen","MIN","WR","27.7","16","1.7"
"390","Kerwynn Williams","ARI","RB","27.7","5","5.5"
"392","Dante Rosario","CHI","TE","27.6","16","1.7"
"393","Ed Dickson","CAR","TE","27.5","16","1.7"
"394","Tony Moeaki","SEA","TE","27.4","6","4.6"
"395","Ka'Deem Carey","CHI","RB","26.5","14","1.9"
"396","Josh Morgan","CHI","WR","26.0","14","1.9"
"397","Ryan Griffin","HOU","TE","25.1","16","1.6"
"398","Logan Paulsen","WAS","TE","24.8","16","1.6"
"399","Joe McKnight","KC","RB","24.7","2","12.4"
"400","Joe Banyard","MIN","RB","24.0","15","1.6"
"401","Anthony Sherman","KC","RB","23.9","16","1.5"
"402","Vincent Brown","LV","WR","23.8","7","3.4"
"403","Rod Streater","LV","WR","23.4","3","7.8"
"404","Michael Campanaro","BAL","WR","23.2","4","5.8"
"405","Robert Hughes","ARI","RB","23.1","16","1.4"
"406","Case Keenum","HOU","QB","22.9","2","11.5"
"407","Matt Cassel","MIN","QB","22.8","3","7.6"
"408","Junior Hemingway","KC","WR","22.8","14","1.6"
"409","Knowshon Moreno","MIA","RB","22.6","3","7.5"
"410","MarQueis Gray","Multi","TE","22.4","13","1.7"
"410","Ryan Lindley","ARI","QB","22.4","3","7.5"
"412","Rob Housler","ARI","TE","22.0","15","1.5"
"413","Santana Moss","WAS","WR","21.6","10","2.2"
"414","Denarius Moore","LV","WR","21.6","10","2.2"
"415","Cory Harkey","LAR","TE","21.5","16","1.3"
"416","Joseph Fauria","DET","TE","21.4","7","3.1"
"417","Storm Johnson","JAC","RB","21.2","6","3.5"
"417","Patrick DiMarco","ATL","RB","21.2","16","1.3"
"419","James Casey","PHI","TE","20.9","16","1.3"
"420","John Kuhn","GB","RB","20.8","16","1.3"
"421","Zurlon Tipton","IND","RB","20.6","6","3.4"
"421","Rex Burkhead","CIN","RB","20.6","9","2.3"
"423","Marion Grice","ARI","RB","20.0","10","2.0"
"423","Brandon Weeden","DAL","QB","20.0","5","4.0"
"425","Joe Morgan","NO","WR","19.9","5","4.0"
"426","Ryan Mallett","HOU","QB","19.8","3","6.6"
"427","Derek Carrier","SF","TE","19.7","11","1.8"
"427","Virgil Green","DEN","TE","19.7","13","1.5"
"427","Jacoby Jones","BAL","WR","19.7","16","1.2"
"427","Christine Michael","SEA","RB","19.7","10","2.0"
"431","Justin Brown","PIT","WR","19.4","8","2.4"
"432","Kevin Norwood","SEA","WR","19.2","9","2.1"
"432","Brian Tyms","NE","WR","19.2","11","1.8"
"434","Jamize Olawale","LV","RB","18.8","16","1.2"
"435","Ryan Hewitt","CIN","RB","18.6","16","1.2"
"436","Robert Meachem","NO","WR","18.4","11","1.7"
"437","Chase Coffman","TEN","TE","18.4","13","1.4"
"438","Orleans Darkwa","Multi","RB","18.1","11","1.7"
"439","A.J. Jenkins","KC","WR","18.1","9","2.0"
"440","Chris Gragg","BUF","TE","17.8","10","1.8"
"441","Robert Herron","TB","WR","17.8","8","2.2"
"442","Trevor Graham","NYJ","WR","17.7","12","1.5"
"442","Brandon Bolden","NE","RB","17.7","16","1.1"
"444","Dane Sanzenbacher","CIN","WR","17.4","10","1.7"
"445","Lee Smith","BUF","TE","17.2","14","1.2"
"446","James Wright","CIN","WR","17.1","17","1.0"
"447","Brandon Pettigrew","DET","TE","17.0","14","1.2"
"448","Matt Hasselbeck","IND","QB","16.9","4","4.2"
"449","Jed Collins","DET","RB","16.8","16","1.1"
"450","Josh Huff","PHI","WR","16.5","12","1.4"
"451","Corey Washington","NYG","WR","16.2","14","1.2"
"452","Erik Lorig","NO","RB","16.1","10","1.6"
"453","Adrien Robinson","NYG","TE","16.0","16","1.0"
"454","Darrin Reaves","CAR","RB","15.9","6","2.7"
"454","Chris Thompson","WAS","RB","15.9","2","8.0"
"456","Jimmy Clausen","CHI","QB","15.8","4","4.0"
"457","Ronnie Brown","Multi","RB","15.7","10","1.6"
"458","Matt Spaeth","PIT","TE","15.6","15","1.0"
"459","Brian Leonhardt","LV","TE","15.5","12","1.3"
"460","Dwayne Harris","DAL","WR","15.3","16","1.0"
"461","Will Ta'ufo'ou","JAC","RB","15.1","16","0.9"
"462","Nate Freese","DET","K","15.0","3","5.0"
"462","Jay Feely","CHI","K","15.0","4","3.8"
"464","Santonio Holmes","CHI","WR","14.7","9","1.6"
"464","Jackie Battle","TEN","RB","14.7","16","0.9"
"466","David Nelson","NYJ","WR","14.5","6","2.4"
"467","Jonathan Dwyer","ARI","RB","13.9","2","7.0"
"468","Keshawn Martin","HOU","WR","13.8","16","0.9"
"469","Ryan Grant","WAS","WR","13.8","16","0.9"
"469","Mike Brown","JAC","WR","13.8","5","2.8"
"471","Zach Miller","SEA","TE","13.6","3","4.5"
"471","Frank Summers","BUF","RB","13.6","10","1.4"
"473","John Conner","NYJ","RB","13.5","12","1.1"
"473","Zach Sudfeld","NYJ","TE","13.5","16","0.8"
"475","Dri Archer","PIT","RB","13.3","12","1.1"
"476","Greg Little","CIN","WR","12.9","6","2.2"
"477","C.J. Fiedorowicz","HOU","TE","12.8","15","0.9"
