"Rank","Player","Team","Position","Points","Games","Avg"
"1","Antonio Brown","PIT","WR","380.9","16","23.8"
"2","Le'Veon Bell","PIT","RB","370.5","16","23.2"
"3","Aaron Rodgers","GB","QB","354.1","16","22.1"
"4","Andrew Luck","IND","QB","351.9","16","22.0"
"5","DeMarco Murray","DAL","RB","351.1","16","21.9"
"6","Matt Forte","CHI","RB","346.6","16","21.7"
"7","Demaryius Thomas","DEN","WR","340.9","16","21.3"
"8","Russell Wilson","SEA","QB","328.5","16","20.5"
"9","Jordy Nelson","GB","WR","327.9","16","20.5"
"10","Dez Bryant","DAL","WR","316.0","16","19.8"
"11","Peyton Manning","DEN","QB","312.7","16","19.5"
"12","Ben Roethlisberger","PIT","QB","306.2","16","19.1"
"13","Drew Brees","NO","QB","303.9","16","19.0"
"14","Marshawn Lynch","SEA","RB","302.3","16","18.9"
"15","Emmanuel Sanders","DEN","WR","301.8","16","18.9"
"16","Julio Jones","ATL","WR","297.4","15","19.8"
"17","Odell Beckham Jr.","NYG","WR","295.0","12","24.6"
"18","Randall Cobb","GB","WR","293.4","16","18.3"
"19","Matt Ryan","ATL","QB","284.0","16","17.8"
"20","Ryan Tannehill","MIA","QB","279.4","16","17.5"
"21","Tom Brady","NE","QB","278.3","16","17.4"
"22","Jeremy Maclin","PHI","WR","276.8","16","17.3"
"23","Arian Foster","HOU","RB","273.5","13","21.0"
"24","Eddie Lacy","GB","RB","272.6","16","17.0"
"25","Eli Manning","NYG","QB","269.5","16","16.8"
"26","Tony Romo","DAL","QB","266.4","15","17.8"
"27","Rob Gronkowski","NE","TE","266.4","15","17.8"
"28","Philip Rivers","LAC","QB","265.5","16","16.6"
"29","Joe Flacco","BAL","QB","262.4","16","16.4"
"30","Alshon Jeffery","CHI","WR","261.6","16","16.4"
"31","Golden Tate","DET","WR","259.1","16","16.2"
"32","T.Y. Hilton","IND","WR","258.5","15","17.2"
"33","Jay Cutler","CHI","QB","255.6","15","17.0"
"34","Matthew Stafford","DET","QB","251.4","16","15.7"
"35","Colin Kaepernick","SF","QB","250.5","16","15.7"
"36","Jamaal Charles","KC","RB","250.4","15","16.7"
"37","Cam Newton","CAR","QB","248.9","14","17.8"
"38","Justin Forsett","BAL","RB","246.9","16","15.4"
"39","Mike Evans","TB","WR","245.1","15","16.3"
"40","DeAndre Hopkins","HOU","WR","231.0","16","14.4"
"41","Jimmy Graham","NO","TE","229.9","16","14.4"
"42","Calvin Johnson","DET","WR","226.7","13","17.4"
"43","Kelvin Benjamin","CAR","WR","225.8","16","14.1"
"44","Andy Dalton","CIN","QB","225.5","16","14.1"
"45","Lamar Miller","MIA","RB","223.4","16","14.0"
"46","Antonio Gates","LAC","TE","223.1","16","13.9"
"47","Julian Edelman","NE","WR","222.6","14","15.9"
"48","Martellus Bennett","CHI","TE","221.6","16","13.9"
"49","Greg Olsen","CAR","TE","220.8","16","13.8"
"50","Alex Smith","KC","QB","219.9","15","14.7"
"51","Anquan Boldin","SF","WR","219.6","16","13.7"
"52","Steve Smith","BAL","WR","219.5","16","13.7"
"53","Mike Wallace","MIA","WR","212.8","16","13.3"
"54","Roddy White","ATL","WR","212.1","14","15.2"
"55","C.J. Anderson","DEN","RB","211.3","15","14.1"
"56","Jeremy Hill","CIN","RB","210.9","16","13.2"
"57","Brandon LaFell","NE","WR","210.6","16","13.2"
"58","DeSean Jackson","WAS","WR","209.6","15","14.0"
"59","A.J. Green","CIN","WR","205.3","13","15.8"
"60","Jordan Matthews","PHI","WR","202.2","16","12.6"
"61","Eric Decker","NYJ","WR","200.2","15","13.4"
